Metric,Residential,Industrial,Commercial,Overall
Total Production - Consumption Difference [W],-7203540407.982409,-1095985975.9408,-4824751769.8868,-13124278153.810009
Annual Production over Consumption [%],53.2678747658312,5.374569282726833,5.447334851402711,39.451055160767275
Daily Production over Consumption [%],53.938543446802825,5.62163906055681,5.51606929949026,39.992848808499396
Daytime Production over Consumption (9-18) [%],82.81166050362431,8.753107938593041,8.485480728936952,61.411517047384926
