w246792829,w469681591,w482824940,w506294760,w592487869
7.667854867300465,7.688063489380402,6.597491840220065,4.136256941737313,7.035424240585958
7.58975265629159,7.768508717116418,6.795814955745971,3.5492308594924764,6.277445835454787
7.807809303656884,8.493717287504657,7.32075299127712,4.033687349266583,5.7878269358262
6.750496724603991,8.155551737772704,7.461208057778215,3.059360596045316,4.31024179724086
7.520000168049833,6.872265581707575,5.983007491268111,4.114467914689943,5.592627845724039
7.417133433824046,8.436021491251896,5.834718622482901,3.708514226679041,5.532587771512869
5.949517452095413,7.258310657682972,6.738536012703457,4.037864812121686,5.322457776454245
8.121895631783657,5.735604895751899,6.107730689879607,3.8351362476289297,6.2566207267732015
6.377998125517583,8.472870287606002,6.628332399972517,4.110434849155,5.416839838968784
8.195515767264142,8.388274220119392,4.984763340217509,4.375992531194842,5.720749023888396
6.780731098195236,9.0366569639097,6.057674540996521,4.799311218515904,6.97224638686605
9.951900233504018,8.651839630707256,7.482202173029588,3.583661302904876,6.255887906252569
7.318252156282436,8.968289829115166,7.334685940594776,4.651405771956915,6.698257718120851
6.586091049270514,6.916646865373725,6.8627358120482045,5.322969158969318,7.402991921637595
8.90736100725521,9.078456918290923,8.677494819807006,4.650392526820593,7.600896286632
8.254687728054177,9.805088225309202,6.761073554266164,5.222649642327027,6.638887710834383
7.333014956970641,9.922964277814726,8.267467536591488,5.768616647331656,7.340207967964103
8.965541078426616,9.44997178355952,8.78417785632134,5.4093224133002,7.5404914645431935
7.785524582458109,6.904577925188819,8.40646286080309,4.572246181040546,5.7116538949929305
7.4913443668502255,9.341968547848058,8.636528491959714,5.448325711930854,7.522920156189123
9.23469107942645,9.891711283508478,8.865539904110165,6.367983787307384,7.974161500035162
9.153799761711715,9.022111939340808,8.214698773460587,5.33414907170467,9.008391273662896
8.010370825929972,10.10675227908447,8.73717810908989,5.331885593596245,7.665926191193284
7.197543479249765,8.653902447857009,7.109201945396208,4.720811612043544,8.414221630137202
8.595768791864682,7.839510187749449,7.414596961978066,4.746725672711863,7.078684538584192
9.02898029829874,8.871172301979271,9.212160034115106,5.718894012369438,7.386664288616984
8.470709730265739,8.882432785859253,6.715237561307942,5.944138462967886,9.033498626680936
7.660541143247218,10.520319478906138,8.54719670969149,5.754033856099602,8.066475376609002
8.469510759586077,10.586949816810328,7.705637718902756,5.040592591135549,7.854705408147249
7.928885085682067,10.437467988371829,8.12578801266123,6.074941208285966,7.582831929834084
9.249294034062878,8.343866228075779,8.796167487647118,6.232912726949563,7.334548633380439
9.194994827823884,9.093057095333483,8.807779665628336,5.377902469236585,9.62729830902035
8.37357688992476,8.812946334792427,8.268636032153966,6.401683821335764,8.563511653801461
9.387694246315958,10.315774585498769,9.27987143879982,7.235554049013464,6.845198028998751
