Metric,Residential,Industrial,Commercial,Overall
Total Production - Consumption Difference,-7203540407.982408,-1095985975.9408,-4824751769.8868,-13124278153.810007
Annual Production over Consumption,53.267874765831216,5.374569282726833,5.447334851402711,39.45105516076728
Daily Production over Consumption,53.938543446802825,5.62163906055681,5.51606929949026,39.992848808499396
Daytime Production over Consumption (9-18),82.68452241621534,8.739444744813957,8.472301831869695,61.317128203245844
