w538115135,w539744154
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
159.78300000000002,119.8851
356.33340000000004,272.8985
469.9024,370.5542
577.7228,483.0444
616.0264000000001,536.8822
578.3326000000001,521.6363
476.36340000000007,443.5901
339.24940000000004,327.2825
17.4394,17.6383
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
129.5302,99.4665
331.0992,257.3762
424.94380000000007,341.2437
278.3362,261.30730000000005
144.426,145.145
34.2922,34.5219
438.7784,410.3782
61.917,62.331900000000005
4.5886000000000005,4.6419
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
16.965400000000002,16.9899
237.6024,197.9138
307.1248,265.6174
366.1894,330.1687
251.8462,244.8831
449.5802,415.1525
269.2262,260.0801
101.488,101.4494
19.2764,19.4974
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
15.079600000000005,15.1022
90.0858,88.0161
132.17,131.3194
84.7776,85.3452
96.2126,96.8575
228.8948,224.8368
193.8436,191.1526
181.03500000000005,178.0353
21.1142,21.3563
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
102.4398,80.9617
201.4446,172.9147
249.85720000000003,225.5432
319.9512,294.5298
375.82540000000006,348.4153
380.0938,356.53790000000004
270.0002,260.8481
276.5214,268.39430000000004
10.0992,10.2136
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
155.3116,117.1496
282.1056,226.9464
401.6188,327.1674
288.427,269.9753
457.369,413.6249
461.5492,425.192
