w246792829,w469681591,w482824940,w506294760,w592487869
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
78.4256,89.61540000000001,96.5722,80.1932,74.81800000000001
182.1832,199.6455,210.5387,183.1786,177.3614
312.3112,347.1883,368.9369,314.69140000000004,302.501
416.564,455.42009999999993,479.5199,425.4566,402.7742
450.3104,485.1387000000001,506.6157,464.2634000000001,435.2082
466.36,500.8188,521.9241999999999,487.0648,448.2556
352.7804,373.7372,386.46719999999993,370.4444,339.4452
198.9016,207.8971,213.2985,209.4994,191.79540000000003
31.6976,31.1895,30.8811,31.2578,32.0262
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
45.5328,49.29239999999999,51.6334,45.9528,44.4004
135.70159999999998,143.1904,147.8732,135.5912,133.88
183.4976,188.8155,192.1501,182.9738,182.4082
408.5216,445.7829,468.8957,416.9462000000001,395.345
244.5588,248.87,251.5428,245.6004,243.0036
237.6544,241.89140000000003,244.494,239.8396,235.5936
118.9508,118.2716,117.8592,118.37,119.3868
39.7188,39.357200000000006,39.1376,39.41160000000001,39.95
16.301199999999998,16.0399,15.8813,16.075,16.4702
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
46.3592,50.0823,52.4009,46.7594,45.245000000000005
92.2064,93.119,93.7044,91.4852,92.3088
115.966,115.4085,115.0775,115.129,116.489
151.5476,150.8092,150.36839999999998,150.554,152.18759999999995
129.5572,128.3762,127.659,128.55280000000002,130.3128
66.1968,65.59280000000001,65.226,65.6832,66.5832
66.1968,65.59280000000001,65.226,65.6832,66.5832
164.4164,169.59210000000002,172.69729999999998,170.63780000000003,160.27100000000002
33.5136,32.9752,32.648399999999995,33.048,33.8616
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
