,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
0,w158853557,158853557,way,15.215744684726603,0.75,0.04,0.21,0.0,0.0
1,w158853558,158853558,way,8.062333450765786,0.81,0.12,0.07,0.0,0.0
2,w158853559,158853559,way,10.943810265743243,0.04,0.78,0.18,0.0,0.0
3,w211715359,211715359,way,1063.4341589691724,0.5599999999999999,0.29,0.15,0.0,1.0
4,w246792829,246792829,way,123.5641076205216,0.53,0.32,0.15,0.0,0.0
5,w276462198,276462198,way,154.49647114774604,0.31,0.23,0.46,0.0,0.0
6,w276462425,276462425,way,203.23500767759128,0.37,0.36,0.27,0.0,0.0
7,w276612247,276612247,way,72.75148794700971,0.46,0.45,0.09,0.0,0.0
8,w276614920,276614920,way,52.682678787661686,0.2799999999999999,0.2299999999999999,0.49,0.0,0.0
9,w276734031,276734031,way,112.49362840754276,0.71,0.23,0.06,0.0,1.0
10,w298690124,298690124,way,20.32311399234772,0.06,0.6,0.34,0.0,0.0
11,w298890320,298890320,way,108.93142686849008,0.41,0.31,0.28,0.0,1.0
12,w298890321,298890321,way,213.7833400851715,0.04,0.48,0.48,0.0,1.0
13,w298890322,298890322,way,161.49420527861582,0.59,0.29,0.12,0.0,0.0
14,w298890323,298890323,way,14.19078984449972,0.42,0.1,0.48,0.0,0.0
15,w298890324,298890324,way,66.15793412105963,0.56,0.32,0.12,0.0,0.0
16,w298890325,298890325,way,55.27214016702733,0.48,0.47,0.05,0.0,1.0
17,w298890326,298890326,way,52.539571885441326,0.05,0.36,0.59,0.0,0.0
18,w298890327,298890327,way,18.775045408193723,0.59,0.0,0.41,0.0,0.0
19,w298890328,298890328,way,11.643873760388772,0.48,0.0499999999999999,0.47,0.0,0.0
20,w298890329,298890329,way,35.52145378356104,0.08,0.09,0.83,0.0,0.0
21,w298890330,298890330,way,20.79111224014943,0.29,0.13,0.58,0.0,0.0
22,w298890331,298890331,way,22.82458396561842,0.4,0.25,0.35,0.0,0.0
23,w298890332,298890332,way,11.3905358659176,0.1,0.15,0.75,0.0,0.0
24,w298890333,298890333,way,9.221692746456382,0.24,0.52,0.24,0.0,0.0
25,w306190105,306190105,way,40.945978928535375,0.09,0.47,0.44,0.0,0.0
26,w306190106,306190106,way,25.159740511984378,0.52,0.43,0.05,0.0,0.0
27,w310793316,310793316,way,4.168471996432155,0.45,0.05,0.5,0.0,0.0
28,w312899217,312899217,way,45.83095237459784,0.01,0.78,0.21,0.0,1.0
29,w332759543,332759543,way,21.02414442552177,0.84,0.11,0.05,0.0,1.0
30,w332759544,332759544,way,25.218723762223853,0.25,0.19,0.56,0.0,0.0
31,w332759545,332759545,way,14.321326545849374,0.32,0.43,0.25,0.0,0.0
32,w332759546,332759546,way,23.425052791826808,0.25,0.53,0.22,0.0,0.0
33,w332759547,332759547,way,20.9110126176854,0.07,0.54,0.39,0.0,1.0
34,w332759548,332759548,way,27.224154270365883,0.34,0.38,0.28,0.0,0.0
35,w332759549,332759549,way,25.013732794178477,0.43,0.08,0.49,0.0,0.0
36,w332759550,332759550,way,26.193397798967904,0.47,0.3399999999999999,0.19,0.0,0.0
37,w332759551,332759551,way,34.49069731216306,0.06,0.5,0.44,0.0,0.0
38,w332759552,332759552,way,20.00112346235192,0.52,0.44,0.04,0.0,0.0
