Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-01-01 00:00:00,228.14514,14.6090466,75.52630649999999,318.2804931
2019-01-01 01:00:00,214.555852,14.25760708,71.02433119999999,299.83779028
2019-01-01 02:00:00,202.328175,13.854922199999999,66.97880175,283.16189895
2019-01-01 03:00:00,198.394266,13.70447412,65.6778367,277.77657682
2019-01-01 04:00:00,198.704016,14.030185679999999,65.7803412,278.51454287999996
2019-01-01 05:00:00,205.18104599999998,14.28401016,67.9205772,287.38563336
2019-01-01 06:00:00,221.687202,15.40109164,73.38462340000001,310.47291704
2019-01-01 07:00:00,127.85321498023198,15.521968874146,77.161623904864,220.53680775924198
2019-01-01 08:00:00,-9.175250233784013,15.051240326538,74.78297120459399,80.65896129734799
2019-01-01 09:00:00,-95.532172561376,14.40913043401,74.108512086232,-7.014530041134009
2019-01-01 10:00:00,-190.64599843500005,12.908715496999998,69.4168831712,-108.32039976680005
2019-01-01 11:00:00,-228.6827728846,12.141833407250001,65.67689517410001,-150.86404430325
2019-01-01 12:00:00,-223.1162300084,12.397291325500001,68.5488436392,-142.17009504370003
2019-01-01 13:00:00,-150.69983690124002,12.447515871908,67.63618298386601,-70.61613804546602
2019-01-01 14:00:00,-58.23598131223203,14.000079744882,76.586156902926,32.35025533557598
2019-01-01 15:00:00,257.942810224024,17.343097113458,90.411296973648,365.69720431113
2019-01-01 16:00:00,279.988719,17.87806504,92.68271519999999,390.54949924000005
2019-01-01 17:00:00,322.06692,20.1262488,106.6170588,448.81022759999996
2019-01-01 18:00:00,350.251771,21.20461802,115.94600865000002,487.40239767
2019-01-01 19:00:00,364.010268,21.92143152,120.49898549999999,506.43068502
2019-01-01 20:00:00,330.88,20.369799999999994,109.52879999999999,460.7786
2019-01-01 21:00:00,271.033875,16.6392645,89.7206475,377.39378700000003
2019-01-01 22:00:00,242.60852,14.8496568,80.3115885,337.7697653
2019-01-01 23:00:00,222.750832,14.55839808,73.7358816,311.04511168
2019-01-02 00:00:00,207.12061999999997,14.706687639999998,68.56610144999999,290.39340909
2019-01-02 01:00:00,197.06544,14.760345599999999,65.235456,277.0612416
2019-01-02 02:00:00,187.30800000000002,14.2146,62.005500000000005,263.5281
2019-01-02 03:00:00,187.92000000000002,14.523840000000002,62.20440000000001,264.64824000000004
2019-01-02 04:00:00,198.047206,16.31816776,65.5615441,279.92691786
2019-01-02 05:00:00,212.732516,16.458700599999997,70.42163814999999,299.61285475
2019-01-02 06:00:00,264.98751,20.495071800000005,87.71770625,373.20028805
2019-01-02 07:00:00,227.70428891884802,24.234209370224,106.543801286272,358.48229957534403
2019-01-02 08:00:00,132.31292010921598,32.541649341768,127.79342519496,292.647994645944
2019-01-02 09:00:00,86.313260753592,34.152315742405996,135.046935014882,255.51251151088
2019-01-02 10:00:00,193.83051698522402,34.657951001027996,142.629999241446,371.11846722769803
2019-01-02 11:00:00,315.653743682472,33.646020105489995,146.17261112271999,495.472374910682
2019-01-02 12:00:00,419.61341465824,32.686401515264,148.766962742194,601.066778915698
2019-01-02 13:00:00,28.96015670397201,28.843899385664997,133.024306626874,190.828362716511
2019-01-02 14:00:00,397.0855101222,33.344101652618,149.99018087251198,580.41979264733
2019-01-02 15:00:00,445.57119127906,34.16907276039699,148.896284411004,628.636548450461
2019-01-02 16:00:00,453.888831,34.68287232,150.2507923,638.8224956199999
2019-01-02 17:00:00,582.9238,39.72758400000001,192.96431,815.6156940000001
2019-01-02 18:00:00,534.7056,33.150363999999996,177.00513999999998,744.861104
2019-01-02 19:00:00,503.52500000000003,29.629,166.68,699.8340000000001
2019-01-02 20:00:00,370.76572,21.5835602,122.73387425,515.08315445
