,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
351,w475952844,475952844,way,41.82589298948487,0.41,0.24,0.35,1.0,1.0
355,w475952849,475952849,way,43.07324369127041,0.07,0.65,0.28,1.0,1.0
360,w475954104,475954104,way,85.0093676730061,0.14,0.49,0.37,1.0,1.0
367,w475954113,475954113,way,43.838092067326514,0.06,0.19,0.75,1.0,1.0
374,w475955283,475955283,way,21.911793994699387,0.17,0.18,0.65,1.0,1.0
386,w475958564,475958564,way,17.12931603265962,0.53,0.37,0.1,1.0,1.0
387,w475958566,475958566,way,20.610294735316952,0.73,0.11,0.16,1.0,1.0
388,w475958567,475958567,way,10.9167359869448,0.25,0.43,0.32,1.0,1.0
390,w475958784,475958784,way,62.38397304426196,0.34,0.23,0.43,1.0,1.0
392,w475958786,475958786,way,95.50548540004648,0.07,0.59,0.34,1.0,1.0
394,w475959192,475959192,way,49.92497010433426,0.41,0.25,0.34,1.0,1.0
396,w475959196,475959196,way,35.41992523806687,0.35,0.34,0.31,1.0,1.0
397,w475959199,475959199,way,14.189822905971203,0.15,0.22,0.63,1.0,1.0
399,w475959203,475959203,way,24.18700035229736,0.02,0.63,0.35,1.0,1.0
401,w475959207,475959207,way,19.626918251816253,0.5,0.27,0.23,1.0,1.0
402,w475959784,475959784,way,38.06836986767198,0.12,0.44,0.44,1.0,1.0
408,w475959795,475959795,way,15.951584904927222,0.19,0.42,0.39,1.0,1.0
413,w475960228,475960228,way,13.48395778015458,0.39,0.27,0.34,1.0,1.0
414,w475960229,475960229,way,21.28231701263552,0.03,0.34,0.63,1.0,1.0
416,w475960231,475960231,way,19.088333491432884,0.89,0.01,0.0999999999999999,1.0,1.0
418,w475962567,475962567,way,10.87612456874713,0.3399999999999999,0.3999999999999999,0.26,1.0,1.0
421,w475962570,475962570,way,9.380270665132992,0.39,0.11,0.5,1.0,1.0
425,w476740810,476740810,way,21.403184328700007,0.21,0.51,0.28,1.0,1.0
429,w476740814,476740814,way,14.894721093259315,0.43,0.16,0.41,1.0,1.0
432,w476740817,476740817,way,30.27871308194769,0.11,0.52,0.37,1.0,1.0
436,w476741257,476741257,way,16.304517467835534,0.34,0.38,0.28,1.0,1.0
440,w476741261,476741261,way,12.920232618029797,0.47,0.44,0.09,1.0,1.0
441,w476741263,476741263,way,54.027690280827336,0.74,0.18,0.08,1.0,1.0
449,w476744098,476744098,way,80.98496951732281,0.58,0.27,0.15,1.0,1.0
457,w476746960,476746960,way,37.5771650951859,0.7,0.27,0.03,1.0,1.0
460,w476748190,476748190,way,14.875382322688996,0.31,0.19,0.5,1.0,1.0
462,w476748192,476748192,way,14.147277610716506,0.19,0.31,0.5,1.0,1.0
463,w476748193,476748193,way,22.29470165199169,0.34,0.49,0.17,1.0,1.0
464,w476748194,476748194,way,18.44918712408386,0.61,0.32,0.07,1.0,1.0
468,w476748200,476748200,way,19.373580357345084,0.37,0.03,0.6,1.0,1.0
469,w476748201,476748201,way,38.65626849300966,0.23,0.22,0.55,1.0,1.0
481,w477683533,477683533,way,66.88120414038953,0.23,0.06,0.71,1.0,1.0
493,w477683545,477683545,way,20.452683755168856,0.48,0.5,0.02,1.0,1.0
496,w477684043,477684043,way,25.063046659132787,0.43,0.4,0.17,1.0,1.0
499,w477684046,477684046,way,37.407950852695606,0.7,0.04,0.26,1.0,1.0
503,w477684577,477684577,way,21.34613495551757,0.29,0.48,0.23,1.0,1.0
505,w477684579,477684579,way,21.383845558129693,0.02,0.39,0.59,1.0,1.0
511,w478152793,478152793,way,91.61839251541244,0.3,0.34,0.36,1.0,1.0
512,w478152794,478152794,way,112.72375977732956,0.44,0.08,0.48,1.0,1.0
513,w478152795,478152795,way,31.131552864098733,0.16,0.16,0.68,1.0,1.0
517,w478152799,478152799,way,9.96236765929958,0.43,0.49,0.08,1.0,1.0
527,w478153506,478153506,way,27.97449856849424,0.22,0.45,0.33,1.0,1.0
530,w478154190,478154190,way,15.642164575802129,0.57,0.14,0.29,1.0,1.0
532,w478154192,478154192,way,29.04199870397582,0.32,0.39,0.29,1.0,1.0
547,w478155737,478155737,way,29.64440140724124,0.44,0.13,0.43,1.0,1.0
548,w478155738,478155738,way,4.07467895916611,0.12,0.44,0.44,1.0,1.0
549,w478155739,478155739,way,18.508170374323328,0.42,0.43,0.15,1.0,1.0
550,w478155740,478155740,way,20.568716378590764,0.31,0.67,0.02,1.0,1.0
554,w478156801,478156801,way,18.005362339495047,0.2,0.2,0.6,1.0,1.0
557,w478156804,478156804,way,16.62070636666024,0.11,0.7,0.19,1.0,1.0
559,w478156808,478156808,way,34.61349850528458,0.1,0.66,0.24,1.0,1.0
565,w478157349,478157349,way,18.189080659913078,0.35,0.37,0.28,1.0,1.0
566,w478157351,478157351,way,9.945929704314809,0.23,0.02,0.75,1.0,1.0
567,w478157353,478157353,way,13.174537451029485,0.33,0.46,0.21,1.0,1.0
568,w478157355,478157355,way,40.22947747890508,0.74,0.21,0.05,1.0,1.0
571,w478158103,478158103,way,39.31862138504307,0.42,0.42,0.16,1.0,1.0
573,w478158105,478158105,way,30.921727203410786,0.6,0.24,0.16,1.0,1.0
582,w478158900,478158900,way,20.657674723214228,0.27,0.46,0.27,1.0,1.0
583,w478158901,478158901,way,11.21551999225622,0.43,0.44,0.13,1.0,1.0
584,w478158902,478158902,way,25.18101315961173,0.07,0.29,0.64,1.0,1.0
587,w478160680,478160680,way,26.913767002712262,0.15,0.29,0.56,1.0,1.0
588,w478160681,478160681,way,50.97990003894514,0.31,0.3,0.39,1.0,1.0
592,w478160850,478160850,way,21.356771279331245,0.29,0.31,0.4,1.0,1.0
597,w478161215,478161215,way,23.734473120951908,0.36,0.18,0.46,1.0,1.0
599,w478161217,478161217,way,15.632495190516964,0.11,0.62,0.27,1.0,1.0
600,w478161218,478161218,way,22.164164950642043,0.01,0.36,0.63,1.0,1.0
602,w478161220,478161220,way,31.044528396532304,0.52,0.37,0.11,1.0,1.0
606,w478161707,478161707,way,33.12441317137006,0.3,0.63,0.07,1.0,1.0
613,w478824512,478824512,way,11.09175186060618,0.34,0.34,0.32,1.0,1.0
616,w482663195,482663195,way,20.801748563963105,0.16,0.33,0.51,1.0,1.0
620,w482663205,482663205,way,13.100083184333757,0.05,0.2,0.75,1.0,1.0
632,w482663239,482663239,way,71.33008831009131,0.36,0.18,0.46,1.0,1.0
635,w482663246,482663246,way,24.937344650425715,0.08,0.31,0.61,1.0,1.0
638,w482822607,482822607,way,45.58534998835479,0.48,0.09,0.43,1.0,1.0
639,w482822608,482822608,way,25.89461379365649,0.11,0.44,0.45,1.0,1.0
642,w482822611,482822611,way,26.540528730705123,0.09,0.46,0.45,1.0,1.0
643,w482823212,482823212,way,46.92649372740637,0.08,0.46,0.46,1.0,1.0
645,w482823383,482823383,way,17.748156690909813,0.09,0.58,0.33,1.0,1.0
648,w482824926,482824926,way,14.46153263248418,0.06,0.79,0.15,1.0,1.0
652,w482824941,482824941,way,50.96152820690333,0.27,0.2799999999999999,0.45,1.0,1.0
659,w484126502,484126502,way,80.57788839681761,0.23,0.34,0.43,1.0,1.0
663,w484126508,484126508,way,34.948059236151096,0.06,0.39,0.55,1.0,1.0
667,w484126782,484126782,way,17.33043924659093,0.11,0.52,0.37,1.0,1.0
668,w484126783,484126783,way,98.47978831376146,0.56,0.29,0.15,1.0,1.0
669,w484127281,484127281,way,37.22616640933462,0.01,0.43,0.56,1.0,1.0
670,w484127282,484127282,way,37.88948623989654,0.25,0.55,0.2,1.0,1.0
673,w484128207,484128207,way,41.62767059113911,0.61,0.15,0.24,1.0,1.0
675,w484128210,484128210,way,40.076701191399565,0.39,0.44,0.17,1.0,1.0
676,w484129380,484129380,way,48.36433131930956,0.37,0.55,0.08,1.0,1.0
677,w484129381,484129381,way,29.54190592321855,0.51,0.32,0.17,1.0,1.0
679,w484130354,484130354,way,47.1527573430791,0.02,0.48,0.5,1.0,1.0
683,w484132540,484132540,way,21.48344022656683,0.26,0.56,0.18,1.0,1.0
695,w484133991,484133991,way,16.053113450421396,0.33,0.43,0.24,1.0,1.0
697,w484133993,484133993,way,12.681398801486363,0.01,0.36,0.63,1.0,1.0
698,w484133994,484133994,way,20.384031119644224,0.19,0.11,0.7,1.0,1.0
703,w484139827,484139827,way,111.52185518638426,0.47,0.28,0.25,1.0,1.0
708,w486177191,486177191,way,14.668457477586587,0.57,0.21,0.22,1.0,1.0
710,w486177193,486177193,way,51.00407350215804,0.27,0.3399999999999999,0.39,1.0,1.0
712,w486177195,486177195,way,34.57385402561543,0.37,0.32,0.31,1.0,1.0
715,w486177198,486177198,way,6.758900314326319,0.15,0.38,0.47,1.0,1.0
723,w486177608,486177608,way,48.5673884102979,0.1999999999999999,0.44,0.36,1.0,1.0
737,w486178093,486178093,way,10.724315219770128,0.43,0.19,0.38,1.0,1.0
742,w486180358,486180358,way,16.503706804709815,0.22,0.35,0.43,1.0,1.0
745,w486184340,486184340,way,33.08380175317239,0.24,0.26,0.5,1.0,1.0
746,w486184343,486184343,way,8.22284524649943,0.49,0.46,0.05,1.0,1.0
747,w486184347,486184347,way,58.045319866811,0.19,0.43,0.38,1.0,1.0
748,w486184349,486184349,way,31.32107281568786,0.11,0.22,0.67,1.0,1.0
755,w486185619,486185619,way,20.402402951686028,0.39,0.48,0.13,1.0,1.0
758,w486186227,486186227,way,23.029574933663795,0.54,0.22,0.24,1.0,1.0
759,w486186228,486186228,way,12.040318557080305,0.63,0.1999999999999999,0.17,1.0,1.0
761,w486186231,486186231,way,65.81177012785092,0.14,0.56,0.3,1.0,1.0
763,w486186233,486186233,way,11.68061742447238,0.24,0.12,0.64,1.0,1.0
765,w486186494,486186494,way,22.45714732478237,0.41,0.26,0.33,1.0,1.0
771,w486187265,486187265,way,11.216486930784734,0.51,0.4,0.09,1.0,1.0
