time,P,G(i),H_sun,T2m,WS10m,Int
20190103:2010,0.0,0.0,0.0,-7.34,1.86,0.0
20190103:2110,0.0,0.0,0.0,-5.78,1.66,0.0
20190103:2210,0.0,0.0,0.0,-5.23,1.45,0.0
20190103:2310,0.0,0.0,0.0,-4.56,1.31,0.0
20190104:0010,0.0,0.0,0.0,-4.93,1.31,0.0
20190104:0110,0.0,0.0,0.0,-5.08,1.31,0.0
20190104:0210,0.0,0.0,0.0,-5.6,1.45,0.0
20190104:0310,0.0,0.0,0.0,-6.33,1.45,0.0
20190104:0410,0.0,0.0,0.0,-6.98,1.45,0.0
20190104:0510,0.0,0.0,0.0,-7.23,1.45,0.0
20190104:0610,0.0,0.0,0.0,-7.71,1.59,0.0
20190104:0710,4.97,14.58,4.71,-8.38,1.72,0.0
20190104:0810,58.85,79.28,12.96,-8.05,1.66,0.0
20190104:0910,101.27,125.52,19.48,-7.78,2.41,0.0
20190104:1010,62.9,84.52,23.73,-5.42,2.07,0.0
20190104:1110,72.95,95.92,25.24,-4.49,2.0,0.0
20190104:1210,187.38,219.53,23.8,-4.14,2.62,0.0
20190104:1310,164.81,194.86,19.61,-3.98,2.83,0.0
20190104:1410,179.58,210.45,13.13,-4.27,2.21,0.0
20190104:1510,9.18,20.96,4.91,-4.92,1.66,0.0
20190104:1610,0.0,0.0,0.0,-6.7,1.31,0.0
20190104:1710,0.0,0.0,0.0,-7.37,1.38,0.0
20190104:1810,0.0,0.0,0.0,-6.4,1.31,0.0
20190104:1910,0.0,0.0,0.0,-6.41,1.38,0.0
20190104:2010,0.0,0.0,0.0,-6.13,1.31,0.0
20190104:2110,0.0,0.0,0.0,-6.53,1.31,0.0
20190104:2210,0.0,0.0,0.0,-6.91,1.24,0.0
20190104:2310,0.0,0.0,0.0,-7.12,1.17,0.0
20190105:0010,0.0,0.0,0.0,-7.49,1.1,0.0
20190105:0110,0.0,0.0,0.0,-8.2,1.17,0.0
20190105:0210,0.0,0.0,0.0,-8.21,1.17,0.0
20190105:0310,0.0,0.0,0.0,-8.17,1.17,0.0
20190105:0410,0.0,0.0,0.0,-8.07,1.1,0.0
20190105:0510,0.0,0.0,0.0,-7.98,1.1,0.0
20190105:0610,0.0,0.0,0.0,-7.94,1.1,0.0
20190105:0710,13.35,26.43,4.72,-7.2,1.17,0.0
20190105:0810,70.79,92.94,13.0,-6.45,1.17,0.0
20190105:0910,120.78,155.59,19.54,-4.46,0.9,0.0
20190105:1010,188.55,232.17,23.82,-2.57,0.9,0.0
20190105:1110,250.63,298.83,25.34,-1.0,0.97,0.0
20190105:1210,287.48,338.19,23.93,0.28,1.03,0.0
20190105:1310,231.5,273.46,19.75,0.38,0.9,0.0
20190105:1410,297.38,346.96,13.27,0.11,0.9,0.0
20190105:1510,2.06,10.02,5.06,1.09,0.55,0.0
20190105:1610,0.0,0.0,0.0,0.56,0.69,0.0
20190105:1710,0.0,0.0,0.0,0.13,0.55,0.0
20190105:1810,0.0,0.0,0.0,-0.35,0.34,0.0
20190105:1910,0.0,0.0,0.0,-0.36,0.34,0.0
20190105:2010,0.0,0.0,0.0,-0.46,0.34,0.0
20190105:2110,0.0,0.0,0.0,-0.65,0.41,0.0
20190105:2210,0.0,0.0,0.0,-0.71,0.62,0.0
20190105:2310,0.0,0.0,0.0,-0.88,0.83,0.0
20190106:0010,0.0,0.0,0.0,-1.15,0.97,0.0
20190106:0110,0.0,0.0,0.0,-0.98,1.1,0.0
20190106:0210,0.0,0.0,0.0,-1.32,1.1,0.0
20190106:0310,0.0,0.0,0.0,-1.65,1.1,0.0
20190106:0410,0.0,0.0,0.0,-1.9,1.1,0.0
20190106:0510,0.0,0.0,0.0,-2.14,1.1,0.0
20190106:0610,0.0,0.0,0.0,-2.32,1.1,0.0
20190106:0710,8.39,20.05,4.75,-1.85,1.03,0.0
20190106:0810,52.76,74.72,13.04,-0.66,0.9,0.0
20190106:0910,72.1,121.36,19.61,1.51,0.48,0.0
20190106:1010,175.68,223.27,23.91,4.73,0.07,0.0
20190106:1110,271.2,336.7,25.46,6.59,0.69,0.0
20190106:1210,328.28,397.93,24.06,6.84,0.9,0.0
20190106:1310,250.27,303.24,19.89,7.08,0.97,0.0
20190106:1410,330.91,397.41,13.43,6.84,0.9,0.0
20190106:1510,9.28,21.87,5.21,5.24,0.97,0.0
20190106:1610,0.0,0.0,0.0,4.81,1.03,0.0
20190106:1710,0.0,0.0,0.0,3.94,1.03,0.0
20190106:1810,0.0,0.0,0.0,2.84,1.1,0.0
20190106:1910,0.0,0.0,0.0,1.99,1.1,0.0
20190106:2010,0.0,0.0,0.0,1.18,1.1,0.0
20190106:2110,0.0,0.0,0.0,0.53,1.1,0.0
20190106:2210,0.0,0.0,0.0,0.14,1.1,0.0
20190106:2310,0.0,0.0,0.0,-0.15,1.03,0.0
