time,P,G(i),H_sun,T2m,WS10m,Int
20190111:0810,537.13,604.71,13.36,-3.44,1.66,0.0
20190111:0910,501.12,563.1,20.05,-3.05,1.79,0.0
20190111:1010,596.96,685.53,24.48,-0.11,1.93,0.0
20190111:1110,335.51,384.42,26.15,0.95,2.21,0.0
20190111:1210,157.58,190.8,24.83,1.0,1.86,0.0
20190111:1310,144.88,176.72,20.71,0.96,1.79,0.0
20190111:1410,33.41,52.34,14.26,0.66,1.66,0.0
20190111:1510,62.12,88.54,6.04,0.01,1.45,0.0
20190111:1610,0.0,0.0,0.0,-1.96,1.38,0.0
20190111:1710,0.0,0.0,0.0,-2.6,1.31,0.0
20190111:1810,0.0,0.0,0.0,-1.66,1.24,0.0
20190111:1910,0.0,0.0,0.0,-1.43,1.31,0.0
20190111:2010,0.0,0.0,0.0,-1.77,1.31,0.0
20190111:2110,0.0,0.0,0.0,-2.04,1.17,0.0
20190111:2210,0.0,0.0,0.0,-2.28,1.1,0.0
20190111:2310,0.0,0.0,0.0,-2.53,1.03,0.0
20190112:0010,0.0,0.0,0.0,-2.69,1.1,0.0
20190112:0110,0.0,0.0,0.0,-3.22,1.1,0.0
20190112:0210,0.0,0.0,0.0,-3.37,1.17,0.0
20190112:0310,0.0,0.0,0.0,-3.34,1.24,0.0
20190112:0410,0.0,0.0,0.0,-3.28,1.24,0.0
20190112:0510,0.0,0.0,0.0,-3.21,1.24,0.0
20190112:0610,0.0,0.0,0.0,-3.17,1.31,0.0
20190112:0710,228.34,264.49,5.03,-3.37,1.17,0.0
20190112:0810,467.41,529.1,13.45,-2.24,1.24,0.0
20190112:0910,642.14,742.58,20.16,-1.07,1.31,0.0
20190112:1010,724.65,845.63,24.62,-1.6,1.38,0.0
20190112:1110,710.95,841.37,26.3,1.36,1.38,0.0
20190112:1210,675.58,795.89,25.0,1.61,1.38,0.0
20190112:1310,568.68,661.74,20.89,1.75,1.38,0.0
20190112:1410,364.66,423.84,14.44,1.59,1.31,0.0
20190112:1510,164.04,210.75,6.22,0.8,0.97,0.0
20190112:1610,0.0,0.0,0.0,0.73,0.97,0.0
20190112:1710,0.0,0.0,0.0,0.72,0.9,0.0
20190112:1810,0.0,0.0,0.0,0.25,0.9,0.0
20190112:1910,0.0,0.0,0.0,0.09,0.9,0.0
20190112:2010,0.0,0.0,0.0,-0.05,0.83,0.0
20190112:2110,0.0,0.0,0.0,-0.16,0.69,0.0
20190112:2210,0.0,0.0,0.0,-0.23,0.62,0.0
20190112:2310,0.0,0.0,0.0,-0.35,0.55,0.0
