Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,5.068874841245761,2.1398375166977535,1.731963238363817,7.244625400622592
2,6.353549110489707,1.1636977530428523,0.9125822318295517,7.637374702276778
3,9.689152233255927,5.474310181883714,4.1355190815511955,14.640631951816452
4,9.602418967821432,7.46896751710006,3.627507719784611,12.97828571579521
5,13.065859968595348,4.224505104082199,4.321246024488294,14.638683773721386
6,12.838981352866941,4.540147317876499,5.6597132432329245,15.271731144066825
7,11.277311136896037,6.310818968776331,5.8664494513075836,15.086087217087861
8,12.546829915000407,6.884661842486787,5.870076926324253,17.623753392428014
9,10.521126165706054,5.670076752682367,3.5990852479840525,13.837214055305703
10,7.612206448394472,4.472624645788086,3.2998121441038655,10.391579368551158
11,5.391544676155615,2.1011156487657034,0.8514596098526596,6.682976267125146
12,3.8278149534417985,2.096185156828782,2.3414288169503266,6.244376371561952
