Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,1654.7822164789445,600.8408306275049,376.0817358799388,2455.9523796661065
2,2044.5932722382554,303.991122810915,206.02105264010396,2497.42048386906
3,3600.905399526597,1584.9668918040416,901.8429092758645,5661.567242905118
4,3453.0588199964664,1943.7722580099148,221.8035600931877,4934.814505461272
5,3986.056265415963,1042.3804697102494,870.5162723499308,4682.5897316474775
6,4534.383841200661,1168.4283508188223,1094.2284118645016,5300.501089079156
7,5307.388411599704,2041.4235055873557,530.0600672576002,6873.4108469532175
8,4863.651428379915,2093.3429568728598,1325.5737013505109,6967.117752481951
9,4083.0083798293936,556.5145591530843,803.4754603989213,5448.702013221819
10,2614.0361405597746,1131.934985262268,588.6356643614591,3537.3329395791834
11,1382.531688309631,509.6181776002723,164.6676687049043,1801.763718573725
12,1279.739156973294,113.80684494352116,434.76933832261284,2117.087081205738
