Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,30.124763163333824,12.851827835464361,10.310148171223972,44.20588125903836
2,37.87048694547922,6.875250916934483,5.5204670372231215,46.568351201428776
3,58.07686488244368,32.7543123095971,24.873581267981205,89.54216404346357
4,58.335202679478606,45.341821220110276,21.736181422041113,80.34080279533833
5,80.2145012939051,25.32221768360004,26.565997883884133,90.73983162104643
6,79.81330687418256,27.44113641380902,34.92979234008789,95.72867998025757
7,70.71810145715814,38.88666122627065,35.797994482167276,95.1061579645522
8,78.73618881120615,42.32020656003143,35.71461962623752,111.20959132940112
9,64.90355384926826,34.041352188693345,21.304980789457158,86.07949633618274
10,46.40182287478225,26.779076524623058,19.41650094129445,64.23445762659672
11,32.91766329573232,12.668545465783712,5.185149248677505,41.477880163122215
12,22.880068791382865,12.523908448339952,13.81413776580795,37.989218093244816
