datetime,date,hour,SUD [Eur/MWh],SUD [Eur/Wh]
2019-01-05 12:00:00,20190105,13,68,"0,000006767"
2019-01-05 13:00:00,20190105,14,64,"0,0000064"
2019-01-05 14:00:00,20190105,15,62,"0,000006157"
2019-01-05 15:00:00,20190105,16,62,"0,000006243"
2019-01-05 16:00:00,20190105,17,74,"0,000007393"
2019-01-05 17:00:00,20190105,18,77,"0,000007665"
2019-01-05 18:00:00,20190105,19,77,"0,000007684"
2019-01-05 19:00:00,20190105,20,78,"0,000007751"
2019-01-05 20:00:00,20190105,21,77,"0,000007655"
2019-01-05 21:00:00,20190105,22,76,"0,000007569"
2019-01-05 22:00:00,20190105,23,70,"0,000007"
2019-01-05 23:00:00,20190105,24,65,"0,000006509"
2019-01-06 00:00:00,20190106,1,61,"0,00000609"
2019-01-06 01:00:00,20190106,2,55,"0,00000549"
2019-01-06 02:00:00,20190106,3,51,"0,000005142572"
2019-01-06 03:00:00,20190106,4,48,"0,000004801649"
2019-01-06 04:00:00,20190106,5,48,"0,000004837326"
2019-01-06 05:00:00,20190106,6,47,"0,000004717378"
2019-01-06 06:00:00,20190106,7,48,"0,000004819174"
2019-01-06 07:00:00,20190106,8,53,"0,000005287"
2019-01-06 08:00:00,20190106,9,55,"0,000005499"
2019-01-06 09:00:00,20190106,10,57,"0,00000565"
2019-01-06 10:00:00,20190106,11,57,"0,000005655"
2019-01-06 11:00:00,20190106,12,60,"0,000006002143"
2019-01-06 12:00:00,20190106,13,60,"0,000006021846"
2019-01-06 13:00:00,20190106,14,55,"0,0000055"
2019-01-06 14:00:00,20190106,15,54,"0,000005419"
2019-01-06 15:00:00,20190106,16,59,"0,000005865"
2019-01-06 16:00:00,20190106,17,62,"0,000006224"
2019-01-06 17:00:00,20190106,18,67,"0,0000067"
2019-01-06 18:00:00,20190106,19,68,"0,0000068"
2019-01-06 19:00:00,20190106,20,70,"0,000007"
2019-01-06 20:00:00,20190106,21,68,"0,000006847"
2019-01-06 21:00:00,20190106,22,66,"0,000006605"
2019-01-06 22:00:00,20190106,23,61,"0,000006114"
2019-01-06 23:00:00,20190106,24,59,"0,000005865"
2019-01-07 00:00:00,20190107,1,62,"0,00000616"
2019-01-07 01:00:00,20190107,2,57,"0,000005675"
2019-01-07 02:00:00,20190107,3,50,"0,000005032"
2019-01-07 03:00:00,20190107,4,50,"0,000005"
2019-01-07 04:00:00,20190107,5,50,"0,000005"
2019-01-07 05:00:00,20190107,6,57,"0,000005675"
2019-01-07 06:00:00,20190107,7,68,"0,000006756"
2019-01-07 07:00:00,20190107,8,65,"0,0000065"
2019-01-07 08:00:00,20190107,9,68,"0,000006756"
2019-01-07 09:00:00,20190107,10,65,"0,0000065"
2019-01-07 10:00:00,20190107,11,61,"0,0000061"
2019-01-07 11:00:00,20190107,12,57,"0,000005724"
2019-01-07 12:00:00,20190107,13,59,"0,0000059"
2019-01-07 13:00:00,20190107,14,59,"0,0000059"
2019-01-07 14:00:00,20190107,15,60,"0,000006"
2019-01-07 15:00:00,20190107,16,66,"0,000006646"
2019-01-07 16:00:00,20190107,17,78,"0,000007796"
2019-01-07 17:00:00,20190107,18,80,"0,000007957"
2019-01-07 18:00:00,20190107,19,78,"0,0000078"
2019-01-07 19:00:00,20190107,20,78,"0,0000078"
2019-01-07 20:00:00,20190107,21,77,"0,000007736"
2019-01-07 21:00:00,20190107,22,70,"0,000007"
2019-01-07 22:00:00,20190107,23,66,"0,000006606"
2019-01-07 23:00:00,20190107,24,63,"0,0000063"
2019-01-08 00:00:00,20190108,1,70,"0,000007011"
2019-01-08 01:00:00,20190108,2,70,"0,000007"
2019-01-08 02:00:00,20190108,3,68,"0,000006828"
2019-01-08 03:00:00,20190108,4,68,"0,000006826"
2019-01-08 04:00:00,20190108,5,68,"0,000006828"
2019-01-08 05:00:00,20190108,6,78,"0,000007796"
2019-01-08 06:00:00,20190108,7,79,"0,000007852"
2019-01-08 07:00:00,20190108,8,81,"0,000008103"
2019-01-08 08:00:00,20190108,9,93,"0,000009315"
2019-01-08 09:00:00,20190108,10,85,"0,0000085"
2019-01-08 10:00:00,20190108,11,78,"0,0000078"
2019-01-08 11:00:00,20190108,12,78,"0,000007796"
2019-01-08 12:00:00,20190108,13,70,"0,000007013"
2019-01-08 13:00:00,20190108,14,64,"0,000006382"
2019-01-08 14:00:00,20190108,15,69,"0,000006899"
2019-01-08 15:00:00,20190108,16,78,"0,000007796"
2019-01-08 16:00:00,20190108,17,78,"0,0000078"
