Time,Hourly Residential Production (€),Hourly Industrial Production (€),Hourly Commercial Production (€),Total Production (€),CER (€),TIP,E_shared,Total Production (Wh),Total Consumption (Wh),Net Cost Without Production (€),Net Cost With Production (€),Net Cost With CER (€)
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1624709.0,82.860159,82.860159,82.860159
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1569092.0,72.178232,72.178232,72.178232
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1506581.0,60.26324,60.26324,60.26324
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1478951.0,41.410628,41.410628,41.410628
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1483512.0,32.637264,32.637264,32.637264
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1530764.0,30.615280000000002,30.615280000000002,30.615280000000002
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1658332.0,34.824971999999995,34.824971999999995,34.824971999999995
2019-01-01 07:00:00,16.8393047148,0.1261226619,0.5665270896,17.5319544663,77.91979762800001,0.00012,649331.6469,649331.6469,1823524.0,49.235147999999995,31.7031935337,-46.21660409430001
2019-01-01 08:00:00,35.07762418,0.26293286499999996,1.178235245,36.51879229000001,175.29020299200002,0.00012,1460751.6916,1460751.6916,1893309.0,47.332725,10.81393271,-164.47627028200003
2019-01-01 09:00:00,47.66548152,0.3578704249999999,1.6030348599999997,49.626386805,233.69256000000001,0.00012,1947438.0,1985055.4722000002,1947438.0,48.685950000000005,-0.9404368050000048,-234.63299680500003
2019-01-01 10:00:00,88.0346901,0.66318938,2.973858048,91.67173752800001,240.96912,0.00012,2008076.0,2619192.5008000005,2008076.0,70.28265999999999,-21.389077528000016,-262.358197528
2019-01-01 11:00:00,115.77037945560001,0.8741053014999999,3.9237467973999998,120.5682315545,245.44236,0.00012,2045353.0,2940688.5745,2045353.0,83.859473,-36.70875855450001,-282.15111855450004
2019-01-01 12:00:00,135.7882703492,1.0271064685,4.615991570399999,141.4313683881,247.74744,0.00012,2064562.0,2886354.4569,2064562.0,101.163538,-40.2678303881,-288.0152703881
2019-01-01 13:00:00,97.823224956,0.7411669548000002,3.3362905646,101.9006824754,247.16424,0.00012,2059702.0,2485382.4994,2059702.0,84.447782,-17.452900475400003,-264.6171404754
2019-01-01 14:00:00,68.29813181920001,0.5184315908,2.3405026044,71.15706601440002,224.70652425600002,0.00012,1872554.3688,1872554.3688,2052548.0,77.996824,6.839757985599999,-217.86676627040003
2019-01-01 15:00:00,4.8546820584,0.03687744779999999,0.16428307679999998,5.0558425830000004,11.235205740000001,0.00012,93626.7145,93626.7145,2038204.0,110.06301599999999,105.00717341699999,93.77196767699999
2019-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,2016572.0,118.97774799999999,118.97774799999999,118.97774799999999
2019-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,2103535.0,136.729775,136.729775,136.729775
2019-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,2119233.0,137.75014499999997,137.75014499999997,137.75014499999997
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,2080481.0,137.311746,137.311746,137.311746
2019-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1960760.0,125.48863999999999,125.48863999999999,125.48863999999999
2019-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1856796.0,115.121352,115.121352,115.121352
2019-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1769818.0,104.41926199999999,104.41926199999999,104.41926199999999
2019-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1660856.0,91.34708,91.34708,91.34708
2019-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1550667.0,82.185351,82.185351,82.185351
2019-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1480028.0,68.081288,68.081288,68.081288
2019-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1464045.0,57.097755,57.097755,57.097755
2019-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1470268.0,52.929648,52.929648,52.929648
2019-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1505874.0,58.729086,58.729086,58.729086
2019-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1611775.0,62.859225,62.859225,62.859225
2019-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,1876793.0,99.470029,99.470029,99.470029
2019-01-02 07:00:00,33.602054953999996,0.2519899395,1.131244556,34.985289449499994,64.588226676,0.00012,538235.2223,538235.2223,2306597.0,149.92880499999998,114.9435155505,50.35528887449999
2019-01-02 08:00:00,92.656249308,0.695105859,3.1141732299999996,96.465528397,165.36947725200002,0.00012,1378078.9771000003,1378078.9771000003,2749695.0,192.47865,96.01312160299997,-69.35635564900005
