Metric,Residential,Industrial,Commercial,Overall
Total Production - Consumption Difference [W],-7203540407.982408,-1095985975.9408,-4824751769.8868,-13124278153.810007
Annual Production over Consumption [%],53.267874765831216,5.374569282726833,5.447334851402711,39.45105516076728
Daily Production over Consumption [%],53.938543446802825,5.62163906055681,5.51606929949026,39.992848808499396
Daytime Production over Consumption (9-18) [%],82.81166050362431,8.753107938593041,8.485480728936952,61.411517047384926
