Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,29.377413557878356,12.572972765413542,9.999930285798971,44.539724982259024
2,37.39909269149699,6.688723961420346,5.611354010775366,47.247976444379454
3,58.58718067182384,32.349903596123866,24.88629525454262,92.11124574671207
4,60.44976848377349,46.12654877246216,22.162819364299764,84.7186655862287
5,84.42403497764207,25.725215136067213,28.008468118316028,96.19777485142029
6,85.27833053019901,28.1798067064272,37.15039482899888,102.79336356902459
7,76.14510572013232,40.72521660484605,37.5582334579966,102.54206455730757
8,83.90065854076951,43.886344171532954,37.059110108192925,118.87937106624527
9,68.1271251947914,34.183131940212725,21.268438456218373,90.87116965522375
10,47.893092641958944,26.654731666037684,19.060308151210066,67.12710505608557
11,33.79373677870131,12.72877862229937,5.341627817611807,43.35029697847267
12,22.72935592526745,12.212947083997124,13.168059845506502,38.33568013399513
