Time,Hourly Residential Production (€),Hourly Industrial Production (€),Hourly Commercial Production (€),Total Production (€),CER (€),TIP,E_shared,Total Production (Wh),Total Consumption (Wh),Net Cost Without Production (€),Net Cost With Production (€),Net Cost With CER (€)
2019-10-21 22:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,18670.9,0.8775323,0.8775323,0.8775323
2019-10-21 23:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,16532.059999999998,0.7439427,0.7439427,0.7439427
2019-10-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14734.09,0.64829996,0.64829996,0.64829996
2019-10-22 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13844.509999999998,0.6230029499999999,0.6230029499999999,0.6230029499999999
2019-10-22 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13460.4,0.5787972,0.5787972,0.5787972
2019-10-22 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13308.14,0.57225002,0.57225002,0.57225002
2019-10-22 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13514.58,0.58112694,0.58112694,0.58112694
2019-10-22 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14147.59,0.62249396,0.62249396,0.62249396
2019-10-22 06:00:00,0.1707805207,0.0031262238,0.0148749219,0.1887816664,0.48199574400000006,0.00012,4016.6312000000003,4016.6312000000003,16415.909999999996,0.7715477699999997,0.5827661035999998,0.10077035959999975
2019-10-22 07:00:00,0.6037748248,0.0108109792,0.0502798856,0.6648656895999999,1.4247121920000003,0.00012,11872.601600000002,11872.601600000002,20366.53,1.1405256799999999,0.47565999039999984,-0.9490522016000005
2019-10-22 08:00:00,1.0118811333000002,0.017969270199999998,0.08251970809999999,1.1123701116000002,2.1882690720000006,0.00012,18235.575600000004,18235.575600000004,24559.01,1.49809961,0.38572949839999965,-1.802539573600001
2019-10-22 09:00:00,1.4095014360000002,0.026638044,0.12461419199999998,1.5607536720000001,3.1215073440000007,0.00012,26012.561200000004,26012.561200000004,29222.739999999998,1.7533644,0.19261072799999965,-2.928896616000001
2019-10-22 10:00:00,1.4659674243,0.0287908872,0.1357159521,1.6304742636,3.8364100320000003,0.00012,31970.0836,31970.0836,32487.379999999997,1.6568563799999998,0.026382116399999777,-3.8100279156000005
2019-10-22 11:00:00,1.5185750916,0.030742384400000003,0.14582560719999998,1.6951430832,4.037561999999999,0.00012,33646.34999999999,34594.7568,33646.34999999999,1.6486711499999995,-0.046471933200000565,-4.0840339332
2019-10-22 12:00:00,1.4588937521999998,0.0304209568,0.14468612539999998,1.6340008343999999,4.0044624,0.00012,33370.520000000004,34765.9752,33370.520000000004,1.5684144400000002,-0.06558639439999984,-4.0700487944
2019-10-22 13:00:00,1.21643262,0.026113185,0.12467263499999999,1.36721844,3.64591584,0.00012,30382.631999999998,30382.631999999998,32892.13,1.48014585,0.11292740999999999,-3.5329884299999996
2019-10-22 14:00:00,0.966274045,0.021584948000000003,0.103203967,1.09106296,2.8462512,0.00012,23718.760000000002,23718.760000000002,32830.58,1.51020668,0.41914372,-2.42710748
2019-10-22 15:00:00,0.6138900911,0.0146886374,0.07016827869999999,0.6987470072,1.7840349120000003,0.00012,14866.957600000002,14866.957600000002,31443.100000000002,1.4778257,0.7790786928,-1.0049562192000003
2019-10-22 16:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,30043.469999999998,1.4721300299999998,1.4721300299999998,1.4721300299999998
2019-10-22 17:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,29253.559999999998,1.6089457999999999,1.6089457999999999,1.6089457999999999
2019-10-22 18:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,28570.14,1.7142084,1.7142084,1.7142084
2019-10-22 19:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,27306.25,1.77490625,1.77490625,1.77490625
2019-10-22 20:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,24117.73,1.32647515,1.32647515,1.32647515
2019-10-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,21270.65,1.04226185,1.04226185,1.04226185
