w538115135,w539744154
3.135045117424327,2.9948010638408094
2.840162335830809,3.4903547885049826
3.320106367435732,3.041319680237325
3.072650850197906,3.444805621637661
2.614066152954865,2.722641534765584
3.134519495544733,3.8700856998046897
2.8529273539201845,2.9449267182382344
3.0188932955459533,3.161272818643208
3.5325621825129936,3.3243793811243547
3.3811438096695703,3.2157848040747705
3.275953359983838,3.273798347206743
3.501993479177341,3.150750789473339
3.2243815084065246,3.258085391841384
3.606419439908512,3.425207904857304
3.985620318846208,3.5728084926143966
3.950755104308457,3.463800849723573
3.9938405592154447,3.636207785324384
4.172241941681031,3.93861090723844
4.008739068978475,3.6397221883092623
3.7276312060801726,4.3361087384047305
3.351069079906668,3.333724053666839
4.285856972046891,3.584243224667823
4.019739184760484,3.44095197483965
3.769660166023998,2.6250946990609445
4.3983185560631455,3.205276665546257
3.776369717338557,2.8435228768679
3.7836436819264887,3.681838031813755
4.487234727154765,3.581760126878028
3.330375562384829,3.75391379433339
3.9384627718708094,3.453663256270575
3.505883990757229,3.7617514195395065
4.0865961627361225,3.697749129764904
3.170011786832226,3.761020439187545
4.588138988184852,4.062470025868989
4.465514729260402,4.202215987453978
5.360939593823404,4.148216089244943
4.723917472941916,4.297707622946158
5.698059521519441,3.7784590519524017
5.5083675020164335,4.92923076445101
5.24792228755404,4.506241394549803
5.108172780442074,5.24526806951158
6.092946311033261,4.518351850695539
6.25353323340836,4.51788815665288
5.149593920817658,5.040582335302642
7.644964950141765,5.736350738542182
4.736063531408371,5.248784036737105
5.826619754245016,5.817714183664132
5.681011134996037,5.57224195330885
7.468185630871883,4.753289314877846
4.840565760308831,4.8984078647644
6.083308618347779,6.658010712623649
5.547640223223477,4.973820780934079
5.522653299015637,5.695710795389294
5.86376132392303,5.440881681061043
6.598776572227315,4.839026428282796
5.002733297495719,5.721288434509935
5.385633173719081,5.777460437642981
6.433542517238521,4.843352435710227
5.85735860879023,6.617526740713571
6.475261890508946,5.578914737381232
5.95298954275584,6.973015227704079
