Time,Hourly Residential Production (€),Hourly Industrial Production (€),Hourly Commercial Production (€),Total Production (€),CER (€),TIP,E_shared,Total Production (Wh),Total Consumption (Wh),Net Cost Without Production (€),Net Cost With Production (€),Net Cost With CER (€)
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,15575924.0,794.372124,794.372124,794.372124
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,15019412.0,690.892952,690.892952,690.892952
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14402366.0,576.09464,576.09464,576.09464
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14132816.0,395.718848,395.718848,395.718848
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14162532.0,311.575704,311.575704,311.575704
2019-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14622884.0,292.45768000000004,292.45768000000004,292.45768000000004
2019-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,15842962.0,332.702202,332.702202,332.702202
2019-01-01 07:00:00,30.104156484900003,0.23334089580000003,0.9987148043999999,31.336212185100003,139.27205415600002,0.00012,1160600.4513,1160600.4513,17449414.0,471.13417799999996,439.79796581489995,300.52591165889993
2019-01-01 08:00:00,62.47150964500001,0.48274950250000004,2.0770162025,65.03127535000002,312.15012168,0.00012,2601251.014,2601251.014,18111984.0,452.7996,387.76832465,75.61820297000003
2019-01-01 09:00:00,83.34042857499999,0.6434938100000002,2.77572695,86.75964933499999,416.446316808,0.00012,3470385.9734,3470385.9734,18650088.0,466.2522,379.492550665,-36.953766142999996
2019-01-01 10:00:00,147.30720950399999,1.1381436779999998,4.919284299999999,153.36463748199998,525.821614224,0.00012,4381846.7852,4381846.7852,19254776.0,673.91716,520.5525225179999,-5.26909170600004
2019-01-01 11:00:00,187.6938996433,1.4515165588999999,6.2787554775,195.4241716797,571.973185404,0.00012,4766443.2117,4766443.2117,19613128.0,804.138248,608.7140763203,36.74089091630003
2019-01-01 12:00:00,214.2839940199,1.6592343053999998,7.177058811999999,223.1202871373,546.417029724,0.00012,4553475.2477,4553475.2477,19812022.0,970.789078,747.6687908627,201.25176113869998
2019-01-01 13:00:00,150.27849303440001,1.1659296895000002,5.0374595183,156.48188224220002,457.99575290399997,0.00012,3816631.2742,3816631.2742,19759012.0,810.119492,653.6376097578,195.6418568538
2019-01-01 14:00:00,101.386159274,0.7897756638000001,3.399171063800001,105.57510600159999,333.395071584,0.00012,2778292.2632,2778292.2632,19701638.0,748.662244,643.0871379984001,309.6920664144001
2019-01-01 15:00:00,7.4016844794,0.056539609200000014,0.2506441968,7.7088682853999995,17.130818412,0.00012,142756.82009999998,142756.82009999998,19545904.0,1055.478816,1047.7699477146,1030.6391293026
2019-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,19334912.0,1140.759808,1140.759808,1140.759808
2019-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,20186380.0,1312.1146999999999,1312.1146999999999,1312.1146999999999
2019-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,20362548.0,1323.5656199999999,1323.5656199999999,1323.5656199999999
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,19994306.0,1319.6241960000002,1319.6241960000002,1319.6241960000002
2019-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,18827480.0,1204.9587199999999,1204.9587199999999,1204.9587199999999
2019-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,17831166.0,1105.532292,1105.532292,1105.532292
2019-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,16997908.0,1002.876572,1002.876572,1002.876572
2019-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,15908936.0,874.99148,874.99148,874.99148
2019-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14799882.000000002,784.3937460000001,784.3937460000001,784.3937460000001
2019-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14090648.0,648.169808,648.169808,648.169808
2019-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13929720.0,543.25908,543.25908,543.25908
2019-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13976488.0,503.153568,503.153568,503.153568
2019-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14268683.999999998,556.478676,556.478676,556.478676
2019-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,15320890.0,597.51471,597.51471,597.51471
2019-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,17840318.0,945.5368540000001,945.5368540000001,945.5368540000001
2019-01-02 07:00:00,59.26401863849999,0.458939767,1.9690429719999998,61.692001377499984,113.89292562,0.00012,949107.7135,949107.7135,21955172.0,1427.0861799999998,1365.3941786224998,1251.5012530024999
2019-01-02 08:00:00,163.48427874099997,1.2627800569999994,5.440335019,170.18739381699996,291.749817972,0.00012,2431248.4831000003,2431248.4831000003,26034900.0,1822.4429999999998,1652.2556061829998,1360.5057882109998
2019-01-02 09:00:00,209.48996263499998,1.6164339164999997,6.985351626900001,218.0917481784,379.289996832,0.00012,3160749.9735999997,3160749.9735999997,29174512.0,2013.0413279999998,1794.9495798215999,1415.6595829895998
2019-01-02 10:00:00,140.09912917440002,1.0755898230000003,4.717292045400001,145.89201104280002,265.258201896,0.00012,2210485.0158,2210485.0158,31242508.0,2062.005528,1916.1135169572,1650.8553150612001
