Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-01-01 00:00:00,593.946,3.803274,196.62285,794.372124
2019-01-01 01:00:00,516.488,3.432152,170.9728,690.892952
2019-01-01 02:00:00,430.6,2.94864,142.54600000000002,576.09464
2019-01-01 03:00:00,295.764,2.0430479999999998,97.9118,395.718848
2019-01-01 04:00:00,232.84799999999998,1.644104,77.0836,311.575704
2019-01-01 05:00:00,218.58,1.5216800000000001,72.35600000000001,292.45768000000004
2019-01-01 06:00:00,248.66099999999997,1.7275019999999999,82.3137,332.70220199999994
2019-01-01 07:00:00,322.0838435151,2.1241371042,115.58998519560001,439.79796581489995
2019-01-01 08:00:00,276.00349035500005,1.7981004975000001,109.96673379750001,387.76832465000007
2019-01-01 09:00:00,265.23457142500007,1.6462061900000002,112.61177305000001,379.49255066500007
2019-01-01 10:00:00,356.58779049599997,2.074016322,161.89071569999996,520.5525225179999
2019-01-01 11:00:00,413.5711003567,2.3769814411000003,192.7659945225,608.7140763203
2019-01-01 12:00:00,511.6510059800999,2.8792436946,233.138541188,747.6687908626999
2019-01-01 13:00:00,455.49650696559996,2.6516623105,195.4894404817,653.6376097578
2019-01-01 14:00:00,458.4678407260001,2.6886683362,181.9306289362,643.0871379984001
2019-01-01 15:00:00,781.8083155206,4.9602763908,261.0013558032,1047.7699477146
2019-01-01 16:00:00,852.963,5.446408,282.3504,1140.759808
2019-01-01 17:00:00,981.175,6.131449999999999,324.80825,1312.1146999999999
2019-01-01 18:00:00,989.8849999999999,5.992869999999999,327.68775,1323.5656199999999
2019-01-01 19:00:00,986.964,5.943696,326.71650000000005,1319.6241960000002
2019-01-01 20:00:00,901.12,5.547519999999999,298.2912,1204.95872
2019-01-01 21:00:00,826.77,5.075692,273.6866,1105.5322919999999
2019-01-01 22:00:00,750.008,4.590672,248.2779,1002.8765720000001
2019-01-01 23:00:00,654.1700000000001,4.27548,216.54600000000002,874.9914800000001
2019-01-02 00:00:00,586.1800000000001,4.162196,194.05155,784.3937460000001
2019-01-02 01:00:00,484.242,3.627008,160.3008,648.169808
2019-01-02 02:00:00,405.834,3.07983,134.34525,543.25908
2019-01-02 03:00:00,375.84000000000003,2.9047680000000002,124.4088,503.153568
2019-01-02 04:00:00,415.5059999999999,3.4235759999999997,137.5491,556.478676
2019-01-02 05:00:00,446.316,3.4530599999999994,147.74564999999998,597.5147099999999
2019-01-02 06:00:00,706.278,5.462604000000001,233.79625000000001,945.5368540000001
2019-01-02 07:00:00,1006.8659813615001,7.563490233,350.96470702799996,1365.3941786225
2019-01-02 08:00:00,1197.1757212589998,10.108719942999999,444.97116498099996,1652.2556061829998
2019-01-02 09:00:00,1293.537037365,10.8457940835,490.5667483731,1794.9495798216
2019-01-02 10:00:00,1399.8128708256002,11.253738177,505.04690795460004,1916.1135169572003
2019-01-02 11:00:00,1472.1866570112002,11.206332543999999,508.899783424,1992.2927729792
2019-01-02 12:00:00,1501.08713433,10.9134565533,501.9581044737,2013.9586953570001
2019-01-02 13:00:00,1189.4575972869,8.447527080899999,453.0786057475,1650.9837301153
2019-01-02 14:00:00,1379.274271518,10.143191244,465.25196239200005,1854.669425154
2019-01-02 15:00:00,1467.7605156435,11.149480939999997,486.56585781699994,1965.4758544004999
2019-01-02 16:00:00,1474.737,11.268864,488.1821,1974.187964
2019-01-02 17:00:00,1624.177,11.069136,537.64865,2172.894786
2019-01-02 18:00:00,1580.304,9.797476,523.1326,2113.234076
2019-01-02 19:00:00,1490.434,8.770184,493.3728,1992.5769839999998
2019-01-02 20:00:00,1177.592,6.8551720000000005,389.81605,1574.263222
2019-01-02 21:00:00,947.5739999999998,5.541361999999999,313.67115,1266.786512
2019-01-02 22:00:00,807.2339999999999,4.77717,267.2217,1079.2328699999998
2019-01-02 23:00:00,686.4480000000001,4.4122319999999995,227.2455,918.1057320000001
2019-01-03 00:00:00,401.41499999999996,2.84935,132.88625,537.1505999999999
2019-01-03 01:00:00,406.63800000000003,3.1166840000000002,134.60930000000002,544.3639840000001
2019-01-03 02:00:00,358.87000000000006,2.841448,118.7926,480.50404800000007
2019-01-03 03:00:00,359.074,2.830228,118.864,480.768228
2019-01-03 04:00:00,365.70399999999995,3.074348,121.0638,489.84214799999995
2019-01-03 05:00:00,393.48199999999997,3.1806319999999997,130.2574,526.920032
2019-01-03 06:00:00,735.24,5.93527,243.386,984.5612699999999
2019-01-03 07:00:00,971.3278888158,7.5049574887,323.8779061299,1302.7107524344
2019-01-03 08:00:00,1056.0801967562,9.2913755308,379.8410526252,1445.2126249122
2019-01-03 09:00:00,1171.1614020423,10.2141313419,426.0333066945,1607.4088400787
2019-01-03 10:00:00,1235.485552158,9.854304850499998,453.93991926250004,1699.2797762710002
2019-01-03 11:00:00,1072.915578873,8.3396010285,381.2570701425,1462.512250044
2019-01-03 12:00:00,871.5215400801001,6.4709226738,328.25094974880005,1206.2434125027003
2019-01-03 13:00:00,895.210801875,6.5010614877,320.5955129325,1222.3073762952
2019-01-03 14:00:00,1335.6782197165,10.022286774500001,455.1839320435001,1800.8844385345
2019-01-03 15:00:00,1395.2183434342,10.6467491374,464.47672184180004,1870.3418144134002
2019-01-03 16:00:00,1533.87,12.01668,507.75399999999996,2053.64068
2019-01-03 17:00:00,1725.501,11.956232,571.1885,2308.645732
2019-01-03 18:00:00,1678.197,10.468054,555.5446,2244.209654
2019-01-03 19:00:00,1508.324,8.851996,499.31460000000004,2016.490596
2019-01-03 20:00:00,1270.376,7.1614879999999985,420.529,1698.066488
2019-01-03 21:00:00,1025.542,5.799356,339.481,1370.822356
2019-01-03 22:00:00,900.0600000000001,5.174759999999999,297.954,1203.18876
2019-01-03 23:00:00,788.476,4.98255,261.00714999999997,1054.4657
2019-01-04 00:00:00,661.864,4.741184,219.0944,885.699584
2019-01-04 01:00:00,594.13,4.530122,196.6671,795.327222
2019-01-04 02:00:00,549.75,4.3788,181.98250000000002,736.1113
2019-01-04 03:00:00,516.389,4.046888,170.939,691.3748879999999
2019-01-04 04:00:00,526.3529999999998,4.417906,174.23604999999998,705.0069559999998
2019-01-04 05:00:00,636.106,5.111002,210.5743,851.791302
2019-01-04 06:00:00,912.1449999999999,6.970599999999999,301.95099999999996,1221.0665999999999
2019-01-04 07:00:00,1260.8819221042,9.5169556882,419.9948036477999,1690.3936814401998
2019-01-04 08:00:00,1451.3869653134,12.2267942556,495.79872051039996,1959.4124800794
2019-01-04 09:00:00,1621.9419186310001,13.7555155892,559.2944604376,2194.9918946578
2019-01-04 10:00:00,1775.4791812200003,14.1842088216,601.9866462024,2391.650036244
2019-01-04 11:00:00,1779.0034226172,13.386170229899998,604.4011824699,2396.790775317
2019-01-04 12:00:00,1593.8923294644999,11.4544525615,562.0516375305,2167.3984195565
2019-01-04 13:00:00,1560.2917780189998,11.187147868,545.760113626,2117.2390395129996
2019-01-04 14:00:00,1640.0061333944,12.0606311164,571.6564127291999,2223.72317724
2019-01-04 15:00:00,1649.5470787680001,12.422805862,549.4046551708001,2211.3745398008
2019-01-04 16:00:00,1738.933,12.95239,575.6487999999999,2327.53419
2019-01-04 17:00:00,1741.368,11.66906,576.4526,2329.4896599999997
2019-01-04 18:00:00,1773.695,10.66681,587.1404,2371.5022099999996
2019-01-04 19:00:00,1633.7720000000002,9.219560000000001,540.8426000000001,2183.8341600000003
2019-01-04 20:00:00,1407.9979999999998,7.728707999999999,466.0927,1881.8194079999998
2019-01-04 21:00:00,1188.25,6.434399999999999,393.34049999999996,1588.0249000000001
2019-01-04 22:00:00,1064.8079999999998,5.930136,352.4934,1423.2315359999998
2019-01-04 23:00:00,877.0229999999999,5.202288,290.32605,1172.5513379999998
2019-01-05 00:00:00,892.224,6.033888,295.3548,1193.6126880000002
2019-01-05 01:00:00,736.1920000000001,5.345664,243.7088,985.2464640000002
2019-01-05 02:00:00,666.0600000000001,5.19252,220.482,891.73452
2019-01-05 03:00:00,615.216,4.724048,203.6552,823.5952480000001
2019-01-05 04:00:00,605.34,4.7312639999999995,200.3886,810.459864
2019-01-05 05:00:00,630.6659999999999,4.966812000000001,208.76399999999998,844.396812
2019-01-05 06:00:00,781.715,6.06462,258.77725,1046.55687
2019-01-05 07:00:00,1007.2180166577001,7.256599943,348.8327626704,1363.3073792711
2019-01-05 08:00:00,1104.3887856904,8.0687753182,398.1242738478,1510.5818348564
2019-01-05 09:00:00,1181.4671323669,7.9637130727,431.73059263289997,1621.1614380725
2019-01-05 10:00:00,1217.6000602857,7.4968468605,452.7406857039,1677.8375928501
2019-01-05 11:00:00,1215.580552426,7.1881401376,460.1919473704,1682.9606399339998
2019-01-05 12:00:00,1193.6748437056,6.826919071600001,454.043502542,1654.5452653192
2019-01-05 13:00:00,1123.2743641152,6.299953203199999,411.743704512,1541.3180218303999
2019-01-05 14:00:00,1049.5127430808,5.7393834434,387.4986755746,1442.7508020987998
