full_id,osm_id,osm_type,Area
w471892177,471892177,way,"354,8"
w471948183,471948183,way,"140,08"
w471948184,471948184,way,"110,32"
w471948185,471948185,way,"244,87"
w471948186,471948186,way,"590,03"
w471948569,471948569,way,"510,25"
w471952171,471952171,way,1472
w471955677,471955677,way,"48,7"
w471955678,471955678,way,"190,17"
w471955679,471955679,way,"96,44"
w471955680,471955680,way,"76,8"
w471955681,471955681,way,"70,99"
w471955682,471955682,way,"98,31"
w471955683,471955683,way,"44,82"
w471972076,471972076,way,"743,1"
w471973969,471973969,way,"285,4"
w471973970,471973970,way,"210,63"
w471973971,471973971,way,"77,72"
w471973972,471973972,way,"210,07"
w471973973,471973973,way,"154,1"
w471973974,471973974,way,"293,91"
w471973975,471973975,way,"284,71"
w471973976,471973976,way,"207,08"
w471974874,471974874,way,"121,83"
w471974875,471974875,way,"180,39"
w471974877,471974877,way,"154,51"
w471974878,471974878,way,"137,09"
w471974879,471974879,way,"98,81"
w471974880,471974880,way,"139,85"
w471974882,471974882,way,"388,73"
w471974884,471974884,way,"177,28"
w471974886,471974886,way,"201,67"
w471974887,471974887,way,"264,7"
w471978552,471978552,way,"266,07"
w471978553,471978553,way,"374,43"
w471978554,471978554,way,"221,6"
w471978555,471978555,way,"109,51"
w471978556,471978556,way,"363,03"
w471978558,471978558,way,"485,61"
w471978559,471978559,way,"514,7"
w471978560,471978560,way,"348,69"
w471979883,471979883,way,"371,59"
w471979884,471979884,way,183
w471979886,471979886,way,"593,32"
w471979887,471979887,way,"127,74"
w472275200,472275200,way,"1780,62"
w472275205,472275205,way,"132,69"
w472276948,472276948,way,"411,3"
w472276949,472276949,way,"1113,26"
w472394912,472394912,way,"1021,74"
w472398031,472398031,way,"234,78"
w472398032,472398032,way,"186,19"
w472398033,472398033,way,"105,35"
w472398034,472398034,way,"181,41"
w472398035,472398035,way,"236,9"
w472398036,472398036,way,"158,52"
w472398037,472398037,way,"138,97"
w472398038,472398038,way,"143,58"
w472398039,472398039,way,"261,22"
w472398040,472398040,way,"203,93"
w472398041,472398041,way,"308,97"
w472398042,472398042,way,"223,39"
w472398043,472398043,way,"364,38"
w472398044,472398044,way,"215,03"
w472398045,472398045,way,"151,02"
w472398046,472398046,way,"76,49"
w472398047,472398047,way,"85,68"
w472398048,472398048,way,"44,04"
w472398049,472398049,way,"107,68"
w472398050,472398050,way,"104,16"
w472398320,472398320,way,"215,44"
w472398321,472398321,way,"310,33"
w472398322,472398322,way,"204,78"
w472398323,472398323,way,"141,1"
w472398324,472398324,way,"28,37"
w472398325,472398325,way,"99,7"
w472398326,472398326,way,"120,36"
w472398327,472398327,way,"156,38"
w472398328,472398328,way,"139,37"
