full_id,osm_id,osm_type,Building Area
w592487872,592487872,way,"663,66"
w592487873,592487873,way,"1378,23"
w592487874,592487874,way,"1044,92"
w592488496,592488496,way,"1143,32"
w592488500,592488500,way,"550,87"
w592781545,592781545,way,"395,97"
w592868589,592868589,way,"989,49"
w592868597,592868597,way,"868,32"
w592868598,592868598,way,"1836,61"
w592874727,592874727,way,"581,26"
w601833450,601833450,way,"1112,4"
w601844646,601844646,way,"729,84"
w603537107,603537107,way,"211,86"
w603537108,603537108,way,"1352,01"
w605088179,605088179,way,"519,82"
w620980889,620980889,way,"420,44"
w620983100,620983100,way,"30,25"
w620984134,620984134,way,"473,24"
w620985278,620985278,way,"597,13"
w621816027,621816027,way,"21,78"
w621838492,621838492,way,"541,87"
w622149918,622149918,way,"771,01"
w625669094,625669094,way,"876,23"
w625671304,625671304,way,"425,45"
w625671306,625671306,way,"322,13"
w629297578,629297578,way,"240,31"
w629297579,629297579,way,"372,4"
w630331862,630331862,way,"414,28"
w631676756,631676756,way,13
w631683572,631683572,way,"164,56"
w631683573,631683573,way,"49,24"
w631683975,631683975,way,"83,78"
w631819075,631819075,way,"385,47"
w631819126,631819126,way,"243,55"
w631821517,631821517,way,"392,43"
w632582578,632582578,way,"160,79"
w633731452,633731452,way,"2735,56"
w640498558,640498558,way,"100,7"
w642007899,642007899,way,"1230,43"
w642007939,642007939,way,"1279,87"
w643528419,643528419,way,"915,55"
w643944386,643944386,way,"2092,7"
w645087064,645087064,way,"63314,51"
w657651680,657651680,way,"45,26"
w662743557,662743557,way,"489,55"
w662743558,662743558,way,"211,5"
w781512958,781512958,way,"1015,49"
w784598628,784598628,way,"318,27"
w881761417,881761417,way,"50,77"
w881761418,881761418,way,"198,52"
w881761419,881761419,way,"45,1"
w881761420,881761420,way,"76,84"
w881761421,881761421,way,"86,32"
w881761422,881761422,way,"78,24"
w881761423,881761423,way,"36,29"
w881761424,881761424,way,"39,77"
w881761425,881761425,way,"61,87"
w881761426,881761426,way,"185,81"
w881761430,881761430,way,"193,96"
w881941841,881941841,way,"1182,95"
w979842352,979842352,way,"181,01"
w979842353,979842353,way,"133,23"
w979844292,979844292,way,"875,14"
w980611822,980611822,way,"14871,09"
w980611823,980611823,way,"5534,4"
w980611824,980611824,way,"3231,81"
w1083205991,1083205991,way,"137,72"
w1083279085,1083279085,way,"372,51"
w1083279086,1083279086,way,"198,37"
w1083279087,1083279087,way,"210,33"
w1083279088,1083279088,way,"119,86"
w1083279089,1083279089,way,"106,1"
w1083279095,1083279095,way,"243,34"
w1083279096,1083279096,way,"940,41"
w1083279097,1083279097,way,"119,91"
w1083279098,1083279098,way,"161,7"
w1083279099,1083279099,way,235
w1083279100,1083279100,way,"107,35"
w1083279101,1083279101,way,"86,57"
w1083279102,1083279102,way,"107,64"
w1190124851,1190124851,way,"314,78"
w1190124852,1190124852,way,"1100,34"
w1207656377,1207656377,way,"158,42"
w469491620,469491620,way,"206,15"
w476753360,476753360,way,"1116,87"
w535351168,535351168,way,"88,32"
w543183760,543183760,way,"2100,67"
w543184811,543184811,way,"1215,63"
