time,G(i)_East,G(i)_South,G(i)_West,Tot_Production [W/m2]
20190313:1410,212.44,202.82,212.39,207.6175
20190313:1510,135.92,129.47,139.17,133.5075
20190313:1610,54.7,51.46,56.33,53.4875
20190313:1710,0.0,0.0,0.0,0.0
20190313:1810,0.0,0.0,0.0,0.0
20190313:1910,0.0,0.0,0.0,0.0
20190313:2010,0.0,0.0,0.0,0.0
20190313:2110,0.0,0.0,0.0,0.0
20190313:2210,0.0,0.0,0.0,0.0
20190313:2310,0.0,0.0,0.0,0.0
20190314:0010,0.0,0.0,0.0,0.0
20190314:0110,0.0,0.0,0.0,0.0
20190314:0210,0.0,0.0,0.0,0.0
20190314:0310,0.0,0.0,0.0,0.0
20190314:0410,0.0,0.0,0.0,0.0
20190314:0510,0.0,0.0,0.0,0.0
20190314:0610,173.69,199.26,43.74,153.9875
20190314:0710,226.81,243.34,139.42,213.22750000000002
20190314:0810,403.25,464.25,209.95,385.425
20190314:0910,618.4,788.27,338.04,633.245
20190314:1010,747.7,1007.15,516.33,819.5825
20190314:1110,472.1,508.46,443.3,483.08000000000004
20190314:1210,607.55,799.06,659.82,716.3725
20190314:1310,0.0,0.0,0.0,0.0
20190314:1410,412.89,631.51,762.04,609.4875
20190314:1510,229.23,387.46,644.78,412.23249999999996
20190314:1610,48.32,139.25,457.66,196.12
20190314:1710,0.0,0.0,0.0,0.0
20190314:1810,0.0,0.0,0.0,0.0
20190314:1910,0.0,0.0,0.0,0.0
20190314:2010,0.0,0.0,0.0,0.0
20190314:2110,0.0,0.0,0.0,0.0
20190314:2210,0.0,0.0,0.0,0.0
20190314:2310,0.0,0.0,0.0,0.0
20190315:0010,0.0,0.0,0.0,0.0
20190315:0110,0.0,0.0,0.0,0.0
20190315:0210,0.0,0.0,0.0,0.0
20190315:0310,0.0,0.0,0.0,0.0
20190315:0410,0.0,0.0,0.0,0.0
20190315:0510,0.0,0.0,0.0,0.0
20190315:0610,196.45,225.38,40.09,171.825
20190315:0710,415.41,514.37,73.81,379.49
20190315:0810,590.7,760.85,121.75,558.5375
20190315:0910,710.47,940.04,329.23,729.9449999999999
20190315:1010,768.47,1039.31,522.64,842.4325
20190315:1110,782.11,1087.89,691.28,912.2925
20190315:1210,690.11,972.05,769.34,850.8875
20190315:1310,594.22,878.54,847.0,799.575
20190315:1410,418.02,642.72,783.28,621.685
20190315:1510,229.33,378.22,629.02,403.6975
20190315:1610,57.25,131.17,402.98,180.64249999999998
20190315:1710,0.0,0.0,0.0,0.0
20190315:1810,0.0,0.0,0.0,0.0
20190315:1910,0.0,0.0,0.0,0.0
20190315:2010,0.0,0.0,0.0,0.0
20190315:2110,0.0,0.0,0.0,0.0
20190315:2210,0.0,0.0,0.0,0.0
20190315:2310,0.0,0.0,0.0,0.0
20190316:0010,0.0,0.0,0.0,0.0
20190316:0110,0.0,0.0,0.0,0.0
20190316:0210,0.0,0.0,0.0,0.0
20190316:0310,0.0,0.0,0.0,0.0
20190316:0410,0.0,0.0,0.0,0.0
20190316:0510,0.0,0.0,0.0,0.0
20190316:0610,131.21,141.48,54.67,117.21
20190316:0710,432.15,533.57,63.79,390.77000000000004
20190316:0810,512.11,632.76,168.2,486.4575
20190316:0910,527.42,625.08,344.67,530.5625
20190316:1010,639.54,802.55,484.58,682.305
20190316:1110,621.66,775.5,571.17,685.9575
20190316:1210,605.6,789.55,657.56,710.5649999999999
20190316:1310,510.39,676.74,661.83,631.425
20190316:1410,375.08,505.41,594.84,495.18500000000006
20190316:1510,223.18,319.55,493.73,339.00250000000005
20190316:1610,59.34,132.46,412.34,184.14999999999998
20190316:1710,0.0,0.0,0.0,0.0
20190316:1810,0.0,0.0,0.0,0.0
20190316:1910,0.0,0.0,0.0,0.0
20190316:2010,0.0,0.0,0.0,0.0
20190316:2110,0.0,0.0,0.0,0.0
20190316:2210,0.0,0.0,0.0,0.0
20190316:2310,0.0,0.0,0.0,0.0
20190317:0010,0.0,0.0,0.0,0.0
20190317:0110,0.0,0.0,0.0,0.0
20190317:0210,0.0,0.0,0.0,0.0
20190317:0310,0.0,0.0,0.0,0.0
20190317:0410,0.0,0.0,0.0,0.0
20190317:0510,0.0,0.0,0.0,0.0
20190317:0610,200.81,224.55,46.47,174.095
20190317:0710,423.41,515.2,82.01,383.95500000000004
20190317:0810,598.1,759.75,135.37,563.2425000000001
20190317:0910,713.19,930.24,342.62,729.0725
20190317:1010,787.73,1056.61,537.09,859.51
20190317:1110,784.77,1076.18,697.35,908.62
20190317:1210,713.63,1000.39,796.85,877.815
20190317:1310,601.8,875.09,852.47,801.1125
20190317:1410,424.54,636.13,780.53,619.3325
20190317:1510,237.77,380.75,638.83,409.525
20190317:1610,63.5,133.12,411.57,185.3275
20190317:1710,0.0,0.0,0.0,0.0
20190317:1810,0.0,0.0,0.0,0.0
20190317:1910,0.0,0.0,0.0,0.0
20190317:2010,0.0,0.0,0.0,0.0
20190317:2110,0.0,0.0,0.0,0.0
20190317:2210,0.0,0.0,0.0,0.0
20190317:2310,0.0,0.0,0.0,0.0
20190318:0010,0.0,0.0,0.0,0.0
20190318:0110,0.0,0.0,0.0,0.0
20190318:0210,0.0,0.0,0.0,0.0
20190318:0310,0.0,0.0,0.0,0.0
20190318:0410,0.0,0.0,0.0,0.0
20190318:0510,0.0,0.0,0.0,0.0
20190318:0610,135.85,143.19,61.05,120.82
20190318:0710,339.93,392.61,127.57,313.18
20190318:0810,555.76,690.65,160.75,524.4525
20190318:0910,705.02,912.73,345.11,718.8975
20190318:1010,774.14,1029.54,533.68,841.7249999999999
20190318:1110,775.67,1055.86,691.1,894.6225
20190318:1210,684.06,938.84,759.75,830.3725
20190318:1310,315.44,308.17,315.86,311.90999999999997
20190318:1410,318.21,352.69,393.16,354.1875
20190318:1510,118.97,110.46,115.28,113.79249999999999
20190318:1610,46.77,43.16,44.64,44.4325
20190318:1710,0.0,0.0,0.0,0.0
20190318:1810,0.0,0.0,0.0,0.0
20190318:1910,0.0,0.0,0.0,0.0
20190318:2010,0.0,0.0,0.0,0.0
20190318:2110,0.0,0.0,0.0,0.0
20190318:2210,0.0,0.0,0.0,0.0
20190318:2310,0.0,0.0,0.0,0.0
20190319:0010,0.0,0.0,0.0,0.0
20190319:0110,0.0,0.0,0.0,0.0
20190319:0210,0.0,0.0,0.0,0.0
20190319:0310,0.0,0.0,0.0,0.0
20190319:0410,0.0,0.0,0.0,0.0
20190319:0510,0.0,0.0,0.0,0.0
20190319:0610,114.31,116.4,63.79,102.725
20190319:0710,214.91,219.2,148.53,200.45999999999998
20190319:0810,325.88,337.87,236.81,309.6075
20190319:0910,371.03,375.84,315.29,359.5
20190319:1010,454.68,476.45,401.11,452.1725
20190319:1110,188.08,173.56,179.49,178.6725
20190319:1210,347.6,335.89,337.26,339.15999999999997
20190319:1310,459.91,541.42,541.73,521.12
20190319:1410,338.66,389.27,441.24,389.61
20190319:1510,166.12,162.47,182.33,168.34750000000003
20190319:1610,79.92,82.38,118.91,90.8975
20190319:1710,0.0,0.0,0.0,0.0
20190319:1810,0.0,0.0,0.0,0.0
20190319:1910,0.0,0.0,0.0,0.0
20190319:2010,0.0,0.0,0.0,0.0
20190319:2110,0.0,0.0,0.0,0.0
20190319:2210,0.0,0.0,0.0,0.0
20190319:2310,0.0,0.0,0.0,0.0
20190320:0010,0.0,0.0,0.0,0.0
20190320:0110,0.0,0.0,0.0,0.0
20190320:0210,0.0,0.0,0.0,0.0
20190320:0310,0.0,0.0,0.0,0.0
20190320:0410,0.0,0.0,0.0,0.0
20190320:0510,0.0,0.0,0.0,0.0
20190320:0610,51.77,48.21,45.56,48.4375
20190320:0710,161.11,154.24,133.95,150.885
20190320:0810,323.06,333.08,237.61,306.7075
20190320:0910,455.74,495.41,347.28,448.46000000000004
20190320:1010,341.92,328.64,318.59,329.4475
20190320:1110,641.07,790.51,590.54,703.1575
20190320:1210,556.98,665.52,587.67,618.9225
20190320:1310,486.82,596.58,595.95,568.9825000000001
20190320:1410,396.52,533.09,642.52,526.3050000000001
20190320:1510,239.22,339.93,546.71,366.4475
20190320:1610,66.84,63.1,71.09,66.0325
20190320:1710,0.0,0.0,0.0,0.0
20190320:1810,0.0,0.0,0.0,0.0
20190320:1910,0.0,0.0,0.0,0.0
20190320:2010,0.0,0.0,0.0,0.0
20190320:2110,0.0,0.0,0.0,0.0
20190320:2210,0.0,0.0,0.0,0.0
20190320:2310,0.0,0.0,0.0,0.0
20190321:0010,0.0,0.0,0.0,0.0
20190321:0110,0.0,0.0,0.0,0.0
20190321:0210,0.0,0.0,0.0,0.0
20190321:0310,0.0,0.0,0.0,0.0
20190321:0410,0.0,0.0,0.0,0.0
20190321:0510,0.0,0.0,0.0,0.0
20190321:0610,234.1,253.06,47.38,196.9
20190321:0710,444.46,526.44,81.1,394.61
20190321:0810,610.98,757.66,155.22,570.38
20190321:0910,735.67,942.9,358.15,744.905
20190321:1010,790.69,1037.3,549.01,853.575
20190321:1110,774.17,1033.02,694.42,883.6575
20190321:1210,747.43,1034.67,836.43,913.3
20190321:1310,608.51,860.71,855.7,796.4075
20190321:1410,432.95,625.85,782.47,616.78
20190321:1510,249.01,381.96,658.87,417.95
20190321:1610,74.98,133.6,415.99,189.54250000000002
20190321:1710,0.0,0.0,0.0,0.0
20190321:1810,0.0,0.0,0.0,0.0
20190321:1910,0.0,0.0,0.0,0.0
20190321:2010,0.0,0.0,0.0,0.0
20190321:2110,0.0,0.0,0.0,0.0
20190321:2210,0.0,0.0,0.0,0.0
20190321:2310,0.0,0.0,0.0,0.0
20190322:0010,0.0,0.0,0.0,0.0
20190322:0110,0.0,0.0,0.0,0.0
20190322:0210,0.0,0.0,0.0,0.0
20190322:0310,0.0,0.0,0.0,0.0
20190322:0410,0.0,0.0,0.0,0.0
20190322:0510,0.0,0.0,0.0,0.0
20190322:0610,234.67,250.71,52.85,197.235
20190322:0710,445.47,522.47,91.12,395.38250000000005
20190322:0810,621.57,766.37,162.23,579.135
20190322:0910,733.31,931.2,368.14,740.9625
20190322:1010,774.13,1000.81,550.48,831.5575
20190322:1110,780.01,1033.22,701.58,887.0075
20190322:1210,755.24,1038.46,844.84,919.25
20190322:1310,604.68,841.0,840.08,781.69
20190322:1410,441.05,631.84,793.39,624.53
20190322:1510,254.69,382.23,657.97,419.28000000000003
20190322:1610,76.71,138.68,450.13,201.05
20190322:1710,0.0,0.0,0.0,0.0
20190322:1810,0.0,0.0,0.0,0.0
20190322:1910,0.0,0.0,0.0,0.0
20190322:2010,0.0,0.0,0.0,0.0
20190322:2110,0.0,0.0,0.0,0.0
20190322:2210,0.0,0.0,0.0,0.0
20190322:2310,0.0,0.0,0.0,0.0
20190323:0010,0.0,0.0,0.0,0.0
20190323:0110,0.0,0.0,0.0,0.0
20190323:0210,0.0,0.0,0.0,0.0
20190323:0310,0.0,0.0,0.0,0.0
20190323:0410,0.0,0.0,0.0,0.0
20190323:0510,0.0,0.0,0.0,0.0
20190323:0610,230.17,243.01,57.41,193.39999999999998
20190323:0710,434.17,502.98,103.88,386.0025
20190323:0810,640.36,787.73,161.66,594.37
20190323:0910,761.46,968.02,372.05,767.3875
20190323:1010,817.24,1064.01,568.41,878.4175
20190323:1110,823.92,1100.06,735.5,939.885
20190323:1210,766.07,1049.41,857.27,930.5400000000001
20190323:1310,628.47,879.93,883.75,818.02
20190323:1410,451.25,648.34,822.81,642.685
20190323:1510,259.88,391.99,688.12,432.995
20190323:1610,77.43,141.6,479.28,209.97750000000002
20190323:1710,0.0,0.0,0.0,0.0
20190323:1810,0.0,0.0,0.0,0.0
20190323:1910,0.0,0.0,0.0,0.0
20190323:2010,0.0,0.0,0.0,0.0
20190323:2110,0.0,0.0,0.0,0.0
20190323:2210,0.0,0.0,0.0,0.0
20190323:2310,0.0,0.0,0.0,0.0
20190324:0010,0.0,0.0,0.0,0.0
20190324:0110,0.0,0.0,0.0,0.0
20190324:0210,0.0,0.0,0.0,0.0
20190324:0310,0.0,0.0,0.0,0.0
20190324:0410,0.0,0.0,0.0,0.0
20190324:0510,0.0,0.0,0.0,0.0
20190324:0610,268.51,283.26,47.38,220.6025
20190324:0710,477.43,555.57,78.37,416.735
20190324:0810,648.86,793.97,166.85,600.9125
20190324:0910,765.86,967.95,378.87,770.1575
20190324:1010,829.54,1076.41,576.62,889.745
20190324:1110,827.7,1098.71,740.34,941.365
20190324:1210,774.5,1055.21,866.66,937.895
20190324:1310,632.65,879.08,887.25,819.5150000000001
20190324:1410,455.55,648.08,825.79,644.375
20190324:1510,265.93,401.08,715.76,445.9625
20190324:1610,83.31,140.86,461.64,206.66750000000002
20190324:1710,0.0,0.0,0.0,0.0
20190324:1810,0.0,0.0,0.0,0.0
20190324:1910,0.0,0.0,0.0,0.0
20190324:2010,0.0,0.0,0.0,0.0
20190324:2110,0.0,0.0,0.0,0.0
20190324:2210,0.0,0.0,0.0,0.0
20190324:2310,0.0,0.0,0.0,0.0
20190325:0010,0.0,0.0,0.0,0.0
20190325:0110,0.0,0.0,0.0,0.0
20190325:0210,0.0,0.0,0.0,0.0
20190325:0310,0.0,0.0,0.0,0.0
20190325:0410,0.0,0.0,0.0,0.0
20190325:0510,0.0,0.0,0.0,0.0
20190325:0610,258.11,269.03,55.58,212.9375
20190325:0710,472.31,544.82,85.66,411.90250000000003
20190325:0810,637.24,772.9,177.1,590.035
20190325:0910,751.46,941.53,382.44,754.24
20190325:1010,814.84,1048.2,573.66,871.225
20190325:1110,826.48,1091.33,740.33,937.3675
20190325:1210,766.52,1036.76,857.23,924.3175
20190325:1310,612.23,834.01,845.18,781.3575
20190325:1410,458.03,647.24,829.53,645.51
20190325:1510,264.22,382.22,668.13,424.1975
20190325:1610,84.47,140.49,469.74,208.7975
20190325:1710,0.0,0.0,0.0,0.0
20190325:1810,0.0,0.0,0.0,0.0
20190325:1910,0.0,0.0,0.0,0.0
20190325:2010,0.0,0.0,0.0,0.0
20190325:2110,0.0,0.0,0.0,0.0
20190325:2210,0.0,0.0,0.0,0.0
20190325:2310,0.0,0.0,0.0,0.0
20190326:0010,0.0,0.0,0.0,0.0
20190326:0110,0.0,0.0,0.0,0.0
20190326:0210,0.0,0.0,0.0,0.0
20190326:0310,0.0,0.0,0.0,0.0
20190326:0410,0.0,0.0,0.0,0.0
20190326:0510,0.0,0.0,0.0,0.0
20190326:0610,22.89,21.12,20.96,21.5225
20190326:0710,77.62,71.63,71.08,72.99
20190326:0810,206.01,192.07,192.23,195.595
20190326:0910,238.12,220.76,225.95,226.39749999999998
20190326:1010,278.83,258.91,265.1,265.4375
20190326:1110,381.1,366.85,362.33,369.2825
20190326:1210,374.03,362.34,363.95,365.66499999999996
20190326:1310,453.08,501.32,512.6,492.08000000000004
20190326:1410,284.05,281.33,303.91,287.655
20190326:1510,120.41,111.11,114.91,114.38499999999999
20190326:1610,17.91,16.53,17.09,17.015
20190326:1710,0.0,0.0,0.0,0.0
20190326:1810,0.0,0.0,0.0,0.0
20190326:1910,0.0,0.0,0.0,0.0
20190326:2010,0.0,0.0,0.0,0.0
20190326:2110,0.0,0.0,0.0,0.0
20190326:2210,0.0,0.0,0.0,0.0
20190326:2310,0.0,0.0,0.0,0.0
20190327:0010,0.0,0.0,0.0,0.0
20190327:0110,0.0,0.0,0.0,0.0
20190327:0210,0.0,0.0,0.0,0.0
20190327:0310,0.0,0.0,0.0,0.0
20190327:0410,0.0,0.0,0.0,0.0
20190327:0510,0.0,0.0,0.0,0.0
20190327:0610,151.5,148.56,84.74,133.34
20190327:0710,220.58,216.23,164.93,204.4925
20190327:0810,167.18,154.27,159.55,158.8175
20190327:0910,145.29,134.07,138.66,138.02249999999998
20190327:1010,461.35,470.42,413.25,453.86
20190327:1110,681.88,826.44,630.76,741.38
20190327:1210,734.22,967.21,816.51,871.2875
20190327:1310,552.77,695.29,710.0,663.3375
20190327:1410,426.38,553.14,688.75,555.3525
20190327:1510,219.55,231.57,297.3,244.9975
20190327:1610,60.7,56.02,57.93,57.667500000000004
20190327:1710,0.0,0.0,0.0,0.0
20190327:1810,0.0,0.0,0.0,0.0
20190327:1910,0.0,0.0,0.0,0.0
20190327:2010,0.0,0.0,0.0,0.0
20190327:2110,0.0,0.0,0.0,0.0
20190327:2210,0.0,0.0,0.0,0.0
20190327:2310,0.0,0.0,0.0,0.0
20190328:0010,0.0,0.0,0.0,0.0
20190328:0110,0.0,0.0,0.0,0.0
20190328:0210,0.0,0.0,0.0,0.0
20190328:0310,0.0,0.0,0.0,0.0
20190328:0410,0.0,0.0,0.0,0.0
20190328:0510,0.0,0.0,0.0,0.0
20190328:0610,287.65,293.0,55.58,232.3075
20190328:0710,471.26,530.56,106.61,409.74749999999995
20190328:0810,652.99,778.43,196.69,601.635
20190328:0910,766.15,944.6,401.69,764.26
20190328:1010,833.14,1056.24,592.84,884.615
20190328:1110,856.34,1116.91,768.26,964.605
20190328:1210,775.74,1029.6,866.61,925.3874999999999
20190328:1310,632.46,848.74,872.63,800.6425
20190328:1410,470.43,646.95,839.63,650.99
20190328:1510,277.32,388.3,690.97,436.22249999999997
20190328:1610,92.32,143.95,504.71,221.2325
20190328:1710,0.0,0.0,0.0,0.0
20190328:1810,0.0,0.0,0.0,0.0
20190328:1910,0.0,0.0,0.0,0.0
20190328:2010,0.0,0.0,0.0,0.0
20190328:2110,0.0,0.0,0.0,0.0
20190328:2210,0.0,0.0,0.0,0.0
20190328:2310,0.0,0.0,0.0,0.0
20190329:0010,0.0,0.0,0.0,0.0
20190329:0110,0.0,0.0,0.0,0.0
20190329:0210,0.0,0.0,0.0,0.0
20190329:0310,0.0,0.0,0.0,0.0
20190329:0410,0.0,0.0,0.0,0.0
20190329:0510,0.0,0.0,0.0,0.0
20190329:0610,307.96,311.52,51.94,245.73499999999999
20190329:0710,524.81,592.36,76.54,446.5175
20190329:0810,688.25,820.05,195.22,630.8924999999999
20190329:0910,813.54,1005.29,411.71,808.9575
20190329:1010,880.74,1118.83,617.29,933.9224999999999
20190329:1110,879.76,1143.4,789.17,988.9325
20190329:1210,810.93,1076.02,907.26,967.5575
20190329:1310,662.23,891.73,922.43,842.03
20190329:1410,489.25,674.13,885.39,680.7249999999999
20190329:1510,288.8,409.43,751.97,464.9075
20190329:1610,94.77,147.69,540.34,232.6225
20190329:1710,9.91,8.6,9.11,9.055
20190329:1810,0.0,0.0,0.0,0.0
20190329:1910,0.0,0.0,0.0,0.0
20190329:2010,0.0,0.0,0.0,0.0
20190329:2110,0.0,0.0,0.0,0.0
20190329:2210,0.0,0.0,0.0,0.0
20190329:2310,0.0,0.0,0.0,0.0
20190330:0010,0.0,0.0,0.0,0.0
20190330:0110,0.0,0.0,0.0,0.0
20190330:0210,0.0,0.0,0.0,0.0
20190330:0310,0.0,0.0,0.0,0.0
20190330:0410,0.0,0.0,0.0,0.0
20190330:0510,0.0,0.0,0.0,0.0
20190330:0610,306.53,307.47,55.58,244.2625
20190330:0710,520.62,583.44,81.1,442.15000000000003
20190330:0810,682.59,808.01,201.89,625.125
20190330:0910,795.92,975.81,413.72,790.3149999999999
20190330:1010,863.04,1088.1,611.96,912.8
20190330:1110,871.69,1126.29,783.73,977.0
20190330:1210,804.63,1061.11,899.94,956.6975
20190330:1310,656.17,876.38,910.61,829.885
20190330:1410,485.98,662.5,872.59,670.8925
20190330:1510,287.82,400.01,732.11,454.9875
20190330:1610,97.81,146.68,535.01,231.545
20190330:1710,11.89,10.33,10.93,10.870000000000001
20190330:1810,0.0,0.0,0.0,0.0
20190330:1910,0.0,0.0,0.0,0.0
20190330:2010,0.0,0.0,0.0,0.0
20190330:2110,0.0,0.0,0.0,0.0
20190330:2210,0.0,0.0,0.0,0.0
20190330:2310,0.0,0.0,0.0,0.0
20190331:0010,0.0,0.0,0.0,0.0
20190331:0110,0.0,0.0,0.0,0.0
20190331:0210,0.0,0.0,0.0,0.0
20190331:0310,0.0,0.0,0.0,0.0
20190331:0410,0.0,0.0,0.0,0.0
20190331:0510,9.95,9.18,9.11,9.355
20190331:0610,299.75,298.14,62.87,239.725
20190331:0710,514.33,572.03,89.3,436.9225
20190331:0810,672.87,790.78,209.73,616.04
20190331:0910,785.38,956.14,416.55,778.5525
20190331:1010,850.72,1065.29,608.59,897.4725
20190331:1110,860.73,1104.74,776.23,961.61
20190331:1210,775.74,1010.09,865.34,915.315
20190331:1310,643.76,848.84,885.1,806.635
20190331:1410,478.38,641.48,843.29,651.1575
20190331:1510,291.88,404.71,753.78,463.77
20190331:1610,102.69,145.04,508.72,225.3725
20190331:1710,11.89,10.33,10.93,10.870000000000001
20190331:1810,0.0,0.0,0.0,0.0
20190331:1910,0.0,0.0,0.0,0.0
20190331:2010,0.0,0.0,0.0,0.0
20190331:2110,0.0,0.0,0.0,0.0
20190331:2210,0.0,0.0,0.0,0.0
20190331:2310,0.0,0.0,0.0,0.0
20190401:0010,0.0,0.0,0.0,0.0
20190401:0110,0.0,0.0,0.0,0.0
20190401:0210,0.0,0.0,0.0,0.0
20190401:0310,0.0,0.0,0.0,0.0
20190401:0410,0.0,0.0,0.0,0.0
20190401:0510,15.0,12.61,10.02,12.559999999999999
20190401:0610,309.66,305.79,61.96,245.8
20190401:0710,512.34,565.73,96.59,435.0975
20190401:0810,680.49,796.21,213.42,621.5825
20190401:0910,813.12,989.82,421.52,803.5699999999999
20190401:1010,870.53,1088.22,619.69,916.665
20190401:1110,852.81,1086.28,772.0,949.3425
20190401:1210,761.41,979.48,846.91,891.8199999999999
20190401:1310,586.79,731.56,761.93,702.9599999999999
20190401:1410,453.08,577.49,739.8,586.9649999999999
20190401:1510,283.21,363.93,628.74,409.9525
20190401:1610,116.24,127.18,274.79,161.34750000000003
20190401:1710,11.89,10.33,10.93,10.870000000000001
20190401:1810,0.0,0.0,0.0,0.0
20190401:1910,0.0,0.0,0.0,0.0
20190401:2010,0.0,0.0,0.0,0.0
20190401:2110,0.0,0.0,0.0,0.0
20190401:2210,0.0,0.0,0.0,0.0
20190401:2310,0.0,0.0,0.0,0.0
20190402:0010,0.0,0.0,0.0,0.0
20190402:0110,0.0,0.0,0.0,0.0
20190402:0210,0.0,0.0,0.0,0.0
20190402:0310,0.0,0.0,0.0,0.0
20190402:0410,0.0,0.0,0.0,0.0
20190402:0510,8.96,8.26,8.2,8.42
20190402:0610,93.55,86.9,79.28,86.6575
20190402:0710,262.15,258.17,183.16,240.4125
20190402:0810,498.05,542.31,275.54,464.5525
20190402:0910,598.12,668.93,413.98,587.49
20190402:1010,606.26,669.49,508.54,613.4449999999999
20190402:1110,644.78,735.54,603.47,679.8325
20190402:1210,473.15,484.07,473.16,478.61249999999995
20190402:1310,472.1,513.85,533.79,508.39750000000004
20190402:1410,326.05,331.66,370.02,339.84749999999997
20190402:1510,210.7,208.23,249.09,219.0625
20190402:1610,105.68,102.92,147.79,114.8275
20190402:1710,9.91,8.6,9.11,9.055
20190402:1810,0.0,0.0,0.0,0.0
20190402:1910,0.0,0.0,0.0,0.0
20190402:2010,0.0,0.0,0.0,0.0
20190402:2110,0.0,0.0,0.0,0.0
20190402:2210,0.0,0.0,0.0,0.0
20190402:2310,0.0,0.0,0.0,0.0
20190403:0010,0.0,0.0,0.0,0.0
20190403:0110,0.0,0.0,0.0,0.0
20190403:0210,0.0,0.0,0.0,0.0
20190403:0310,0.0,0.0,0.0,0.0
20190403:0410,0.0,0.0,0.0,0.0
20190403:0510,23.03,18.97,14.58,18.8875
20190403:0610,281.35,273.4,79.28,226.8575
20190403:0710,401.51,424.15,165.84,353.9125
20190403:0810,612.54,697.24,246.39,563.3525
20190403:0910,567.41,620.53,411.33,554.95
20190403:1010,313.89,293.0,297.38,299.3175
20190403:1110,219.92,202.94,209.88,208.92
20190403:1210,275.51,255.2,263.37,262.32
20190403:1310,184.1,169.88,175.69,174.8875
20190403:1410,109.46,101.01,104.47,103.98750000000001
20190403:1510,55.73,51.42,53.18,52.9375
20190403:1610,74.91,69.43,74.37,72.035
20190403:1710,6.93,6.02,6.38,6.3374999999999995
20190403:1810,0.0,0.0,0.0,0.0
20190403:1910,0.0,0.0,0.0,0.0
20190403:2010,0.0,0.0,0.0,0.0
20190403:2110,0.0,0.0,0.0,0.0
20190403:2210,0.0,0.0,0.0,0.0
20190403:2310,0.0,0.0,0.0,0.0
20190404:0010,0.0,0.0,0.0,0.0
20190404:0110,0.0,0.0,0.0,0.0
20190404:0210,0.0,0.0,0.0,0.0
20190404:0310,0.0,0.0,0.0,0.0
20190404:0410,0.0,0.0,0.0,0.0
20190404:0510,8.96,8.26,8.2,8.42
20190404:0610,25.87,23.88,23.69,24.33
20190404:0710,132.72,122.77,120.28,124.63499999999999
20190404:0810,501.27,541.73,281.65,466.595
20190404:0910,384.14,374.38,339.78,368.16999999999996
20190404:1010,225.89,208.45,215.58,214.5925
20190404:1110,224.9,207.53,214.63,213.64749999999998
20190404:1210,143.3,132.23,136.76,136.13
20190404:1310,110.46,101.93,105.42,104.935
20190404:1410,109.46,101.01,104.47,103.98750000000001
20190404:1510,60.7,56.02,57.93,57.667500000000004
20190404:1610,41.79,38.57,39.89,39.705
20190404:1710,13.87,12.05,12.76,12.682500000000001
20190404:1810,0.0,0.0,0.0,0.0
20190404:1910,0.0,0.0,0.0,0.0
20190404:2010,0.0,0.0,0.0,0.0
20190404:2110,0.0,0.0,0.0,0.0
20190404:2210,0.0,0.0,0.0,0.0
20190404:2310,0.0,0.0,0.0,0.0
20190405:0010,0.0,0.0,0.0,0.0
20190405:0110,0.0,0.0,0.0,0.0
20190405:0210,0.0,0.0,0.0,0.0
20190405:0310,0.0,0.0,0.0,0.0
20190405:0410,0.0,0.0,0.0,0.0
20190405:0510,37.92,29.56,20.05,29.2725
20190405:0610,348.18,334.13,61.05,269.3725
20190405:0710,565.26,611.83,80.19,467.27750000000003
20190405:0810,727.91,837.46,230.24,658.2675
20190405:0910,841.89,1006.25,447.46,825.4625
20190405:1010,897.76,1102.4,646.44,937.25
20190405:1110,817.39,1004.3,751.45,894.36
20190405:1210,704.74,852.71,768.05,794.5525
20190405:1310,488.49,527.45,551.43,523.705
20190405:1410,258.75,244.37,258.29,251.445
20190405:1510,242.14,247.2,319.88,264.105
20190405:1610,116.49,147.94,560.64,243.2525
20190405:1710,19.81,17.21,18.22,18.1125
20190405:1810,0.0,0.0,0.0,0.0
20190405:1910,0.0,0.0,0.0,0.0
20190405:2010,0.0,0.0,0.0,0.0
20190405:2110,0.0,0.0,0.0,0.0
20190405:2210,0.0,0.0,0.0,0.0
20190405:2310,0.0,0.0,0.0,0.0
20190406:0010,0.0,0.0,0.0,0.0
20190406:0110,0.0,0.0,0.0,0.0
20190406:0210,0.0,0.0,0.0,0.0
20190406:0310,0.0,0.0,0.0,0.0
20190406:0410,0.0,0.0,0.0,0.0
20190406:0510,36.14,29.1,21.87,29.052500000000002
20190406:0610,344.41,328.42,67.43,267.17
20190406:0710,541.3,581.01,105.7,452.255
20190406:0810,715.52,817.63,239.24,647.505
20190406:0910,817.13,968.31,449.45,800.8
20190406:1010,886.59,1082.04,643.54,923.5525
20190406:1110,872.66,1085.25,795.22,959.595
20190406:1210,799.81,1009.4,891.25,927.4649999999999
20190406:1310,680.51,871.26,934.91,839.485
20190406:1410,491.76,623.62,833.24,643.06
20190406:1510,275.53,305.93,462.67,337.515
20190406:1610,128.82,140.5,363.26,193.26999999999998
20190406:1710,7.93,6.88,7.29,7.244999999999999
20190406:1810,0.0,0.0,0.0,0.0
20190406:1910,0.0,0.0,0.0,0.0
20190406:2010,0.0,0.0,0.0,0.0
20190406:2110,0.0,0.0,0.0,0.0
20190406:2210,0.0,0.0,0.0,0.0
20190406:2310,0.0,0.0,0.0,0.0
20190407:0010,0.0,0.0,0.0,0.0
20190407:0110,0.0,0.0,0.0,0.0
