time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0410,0.0,0.0,0.0,-8.07,1.1,0.0
20190105:0510,0.0,0.0,0.0,-7.98,1.1,0.0
20190105:0610,0.0,0.0,0.0,-7.94,1.1,0.0
20190105:0710,48.93,80.2,4.72,-7.2,1.17,0.0
20190105:0810,148.17,182.53,13.0,-6.45,1.17,0.0
20190105:0910,199.81,236.27,19.54,-4.46,0.9,0.0
20190105:1010,247.8,290.55,23.82,-2.57,0.9,0.0
20190105:1110,270.71,319.24,25.34,-1.0,0.97,0.0
20190105:1210,246.71,297.26,23.93,0.28,1.03,0.0
20190105:1310,166.96,209.99,19.75,0.38,0.9,0.0
20190105:1410,79.05,128.27,13.27,0.11,0.9,0.0
20190105:1510,2.53,10.9,5.06,1.09,0.55,0.0
20190105:1610,0.0,0.0,0.0,0.56,0.69,0.0
20190105:1710,0.0,0.0,0.0,0.13,0.55,0.0
20190105:1810,0.0,0.0,0.0,-0.35,0.34,0.0
20190105:1910,0.0,0.0,0.0,-0.36,0.34,0.0
20190105:2010,0.0,0.0,0.0,-0.46,0.34,0.0
20190105:2110,0.0,0.0,0.0,-0.65,0.41,0.0
20190105:2210,0.0,0.0,0.0,-0.71,0.62,0.0
20190105:2310,0.0,0.0,0.0,-0.88,0.83,0.0
20190106:0010,0.0,0.0,0.0,-1.15,0.97,0.0
20190106:0110,0.0,0.0,0.0,-0.98,1.1,0.0
20190106:0210,0.0,0.0,0.0,-1.32,1.1,0.0
20190106:0310,0.0,0.0,0.0,-1.65,1.1,0.0
20190106:0410,0.0,0.0,0.0,-1.9,1.1,0.0
20190106:0510,0.0,0.0,0.0,-2.14,1.1,0.0
20190106:0610,0.0,0.0,0.0,-2.32,1.1,0.0
20190106:0710,70.86,116.09,4.75,-1.85,1.03,0.0
20190106:0810,192.57,242.16,13.04,-0.66,0.9,0.0
20190106:0910,287.87,348.18,19.61,1.51,0.48,0.0
20190106:1010,220.09,269.12,23.91,4.73,0.07,0.0
20190106:1110,297.43,363.95,25.46,6.59,0.69,0.0
20190106:1210,266.16,332.21,24.06,6.84,0.9,0.0
20190106:1310,169.59,220.85,19.89,7.08,0.97,0.0
20190106:1410,73.41,130.81,13.43,6.84,0.9,0.0
20190106:1510,10.59,23.78,5.21,5.24,0.97,0.0
20190106:1610,0.0,0.0,0.0,4.81,1.03,0.0
20190106:1710,0.0,0.0,0.0,3.94,1.03,0.0
20190106:1810,0.0,0.0,0.0,2.84,1.1,0.0
20190106:1910,0.0,0.0,0.0,1.99,1.1,0.0
20190106:2010,0.0,0.0,0.0,1.18,1.1,0.0
20190106:2110,0.0,0.0,0.0,0.53,1.1,0.0
20190106:2210,0.0,0.0,0.0,0.14,1.1,0.0
20190106:2310,0.0,0.0,0.0,-0.15,1.03,0.0
20190107:0010,0.0,0.0,0.0,-0.53,1.03,0.0
20190107:0110,0.0,0.0,0.0,-0.66,1.03,0.0
20190107:0210,0.0,0.0,0.0,-0.76,0.97,0.0
20190107:0310,0.0,0.0,0.0,-0.75,0.97,0.0
20190107:0410,0.0,0.0,0.0,-0.87,0.97,0.0
